Time	0.5 PrLDf: 25 PrLDm...29
0	3561
0.16667	3531
0.33333	3913
0.5	4536
0.66667	5040
0.83333	5419
1	5758
1.16667	6143
1.33333	6505
1.5	6823
1.66667	7178
1.83333	7508
2	7876
2.16667	8184
2.33333	8492
2.5	8836
2.66667	9095
2.83333	9443
3	9761
3.16667	10071
3.33333	10390
3.5	10670
3.66667	10945
3.83333	11263
4	11544
4.16667	11861
4.33333	12071
4.5	12434
4.66667	12695
4.83333	12975
5	13201
5.16667	13488
5.33333	13744
5.5	14012
5.66667	14313
5.83333	14590
6	14828
6.16667	15053
6.33333	15359
6.5	15585
6.66667	15909
6.83333	16151
7	16423
7.16667	16758
7.33333	17033
7.5	17272
7.66667	17706
7.83333	17829
8	18103
8.16667	18442
8.33333	18738
8.5	19013
8.66667	19390
8.83333	19633
9	20081
9.16667	20196
9.33333	20512
9.5	20806
9.66667	21168
9.83333	21495
10	21690
10.16667	22129
10.33333	22371
10.5	22606
10.66667	22885
10.83333	23290
11	23492
11.16667	23592
11.33333	23955
11.5	24205
11.66667	24357
11.83333	24571
12	24762
12.16667	24978
12.33333	24969
12.5	25328
12.66667	25238
12.83333	25589
13	25690
13.16667	25525
13.33333	25689
13.5	25851
13.66667	25853
13.83333	25990
14	25898
14.16667	26049
14.33333	25960
14.5	26144
14.66667	26157
14.83333	26136
15	26094
15.16667	26010
15.33333	26226
15.5	26341
15.66667	26230
15.83333	26058
16	26505
16.16667	26244
16.33333	26246
16.5	26264
16.66667	26269
16.83333	26282
17	26279
17.16667	26193
17.33333	26134
17.5	26431
17.66667	26339
17.83333	26136
18	26292
18.16667	26204
18.33333	26236
18.5	26489
18.66667	26599
18.83333	26314
19	26208
19.16667	26554
19.33333	26441
19.5	26494
19.66667	26285
19.83333	26453
20	26338
20.16667	26412
20.33333	26650
20.5	26511
20.66667	26615
20.83333	26418
21	26580
21.16667	26479
21.33333	26743
21.5	26600
21.66667	26699
21.83333	26682
22	26412
22.16667	26723
22.33333	26405
22.5	26695
22.66667	26620
22.83333	26629
23	26689
23.16667	26501
23.33333	26802
23.5	26627
23.66667	26604
23.83333	26803
24	26635
