Time	0.5 PrLDf: 5 PrLDm...17
0	3184
0.16667	3019
0.33333	3129
0.5	3483
0.66667	3622
0.83333	3751
1	3852
1.16667	4021
1.33333	4107
1.5	4228
1.66667	4364
1.83333	4496
2	4640
2.16667	4739
2.33333	4827
2.5	4948
2.66667	5022
2.83333	5141
3	5229
3.16667	5316
3.33333	5422
3.5	5477
3.66667	5581
3.83333	5679
4	5741
4.16667	5778
4.33333	5873
4.5	5948
4.66667	5984
4.83333	6065
5	6117
5.16667	6179
5.33333	6227
5.5	6301
5.66667	6332
5.83333	6393
6	6461
6.16667	6529
6.33333	6584
6.5	6606
6.66667	6644
6.83333	6673
7	6734
7.16667	6796
7.33333	6801
7.5	6856
7.66667	6872
7.83333	6921
8	6969
8.16667	6987
8.33333	7001
8.5	7035
8.66667	7059
8.83333	7105
9	7124
9.16667	7145
9.33333	7175
9.5	7193
9.66667	7243
9.83333	7275
10	7285
10.16667	7281
10.33333	7305
10.5	7347
10.66667	7391
10.83333	7383
11	7395
11.16667	7421
11.33333	7447
11.5	7438
11.66667	7482
11.83333	7468
12	7495
12.16667	7509
12.33333	7529
12.5	7546
12.66667	7557
12.83333	7596
13	7578
13.16667	7562
13.33333	7611
13.5	7615
13.66667	7616
13.83333	7653
14	7651
14.16667	7651
14.33333	7657
14.5	7688
14.66667	7714
14.83333	7701
15	7715
15.16667	7709
15.33333	7711
15.5	7709
15.66667	7711
15.83333	7709
16	7723
16.16667	7729
16.33333	7740
16.5	7740
16.66667	7730
16.83333	7743
17	7721
17.16667	7753
17.33333	7750
17.5	7752
17.66667	7756
17.83333	7762
18	7780
18.16667	7781
18.33333	7802
18.5	7810
18.66667	7808
18.83333	7795
19	7786
19.16667	7810
19.33333	7860
19.5	7824
19.66667	7816
19.83333	7823
20	7826
20.16667	7831
20.33333	7844
20.5	7829
20.66667	7825
20.83333	7846
21	7828
21.16667	7835
21.33333	7843
21.5	7824
21.66667	7879
21.83333	7831
22	7870
22.16667	7848
22.33333	7879
22.5	7868
22.66667	7854
22.83333	7868
23	7862
23.16667	7862
23.33333	7881
23.5	7906
23.66667	7879
23.83333	7899
24	7925
