Time	10 PrLDm...82
0	2889
0.16667	2685
0.33333	2657
0.5	2733
0.66667	2754
0.83333	2742
1	2727
1.16667	2715
1.33333	2734
1.5	2736
1.66667	2716
1.83333	2710
2	2714
2.16667	2727
2.33333	2719
2.5	2718
2.66667	2710
2.83333	2708
3	2701
3.16667	2695
3.33333	2695
3.5	2692
3.66667	2701
3.83333	2713
4	2707
4.16667	2706
4.33333	2700
4.5	2693
4.66667	2701
4.83333	2727
5	2695
5.16667	2680
5.33333	2704
5.5	2692
5.66667	2683
5.83333	2699
6	2683
6.16667	2691
6.33333	2691
6.5	2670
6.66667	2685
6.83333	2685
7	2678
7.16667	2687
7.33333	2684
7.5	2672
7.66667	2668
7.83333	2682
8	2698
8.16667	2690
8.33333	2688
8.5	2691
8.66667	2695
8.83333	2673
9	2681
9.16667	2698
9.33333	2681
9.5	2683
9.66667	2682
9.83333	2687
10	2670
10.16667	2679
10.33333	2656
10.5	2665
10.66667	2649
10.83333	2651
11	2691
11.16667	2671
11.33333	2673
11.5	2644
11.66667	2661
11.83333	2656
12	2679
12.16667	2678
12.33333	2664
12.5	2667
12.66667	2659
12.83333	2674
13	2671
13.16667	2671
13.33333	2677
13.5	2687
13.66667	2676
13.83333	2686
14	2658
14.16667	2672
14.33333	2673
14.5	2663
14.66667	2669
14.83333	2677
15	2666
15.16667	2678
15.33333	2677
15.5	2678
15.66667	2687
15.83333	2691
16	2685
16.16667	2679
16.33333	2686
16.5	2688
16.66667	2683
16.83333	2683
17	2672
17.16667	2690
17.33333	2692
17.5	2693
17.66667	2693
17.83333	2680
18	2700
18.16667	2705
18.33333	2719
18.5	2699
18.66667	2720
18.83333	2685
19	2711
19.16667	2722
19.33333	2728
19.5	2721
19.66667	2704
19.83333	2737
20	2727
20.16667	2715
20.33333	2723
20.5	2735
20.66667	2722
20.83333	2761
21	2743
21.16667	2751
21.33333	2756
21.5	2775
21.66667	2765
21.83333	2776
22	2793
22.16667	2805
22.33333	2824
22.5	2836
22.66667	2865
22.83333	2887
23	2900
23.16667	2925
23.33333	2956
23.5	2995
23.66667	3008
23.83333	3036
24	3069
