Time	4 PrLDf: 20 PrLDm...71
0	6434
0.16667	8217
0.33333	11622
0.5	14672
0.66667	17206
0.83333	19027
1	20332
1.16667	21345
1.33333	22026
1.5	22683
1.66667	23051
1.83333	23437
2	23713
2.16667	23962
2.33333	24130
2.5	24419
2.66667	24449
2.83333	24685
3	24785
3.16667	24836
3.33333	24987
3.5	25092
3.66667	25148
3.83333	25287
4	25406
4.16667	25484
4.33333	25524
4.5	25629
4.66667	25655
4.83333	25691
5	25786
5.16667	25724
5.33333	25823
5.5	25957
5.66667	25911
5.83333	25986
6	26015
6.16667	26059
6.33333	26079
6.5	26077
6.66667	26159
6.83333	26191
7	26210
7.16667	26267
7.33333	26191
7.5	26294
7.66667	26318
7.83333	26354
8	26213
8.16667	26251
8.33333	26261
8.5	26285
8.66667	26679
8.83333	26695
9	26699
9.16667	26641
9.33333	26669
9.5	26745
9.66667	26721
9.83333	26752
10	26761
10.16667	26760
10.33333	26774
10.5	26767
10.66667	26867
10.83333	26803
11	26860
11.16667	26837
11.33333	26868
11.5	26843
11.66667	26880
11.83333	26823
12	26876
12.16667	26866
12.33333	26889
12.5	26858
12.66667	26922
12.83333	26925
13	26945
13.16667	26916
13.33333	26957
13.5	26914
13.66667	26850
13.83333	26858
14	26939
14.16667	26988
14.33333	26854
14.5	26942
14.66667	26884
14.83333	26921
15	26807
15.16667	26850
15.33333	26800
15.5	26798
15.66667	26741
15.83333	26830
16	26774
16.16667	26832
16.33333	26854
16.5	26793
16.66667	26795
16.83333	26714
17	26690
17.16667	26659
17.33333	26687
17.5	26750
17.66667	26697
17.83333	26702
18	26704
18.16667	26690
18.33333	26689
18.5	26788
18.66667	26696
18.83333	26734
19	26681
19.16667	26738
19.33333	26735
19.5	26651
19.66667	26636
19.83333	26639
20	26705
20.16667	26737
20.33333	26685
20.5	26801
20.66667	26624
20.83333	26645
21	26649
21.16667	26633
21.33333	26643
21.5	26620
21.66667	26632
21.83333	26617
22	26672
22.16667	26680
22.33333	26666
22.5	26674
22.66667	26694
22.83333	26616
23	26603
23.16667	26585
23.33333	26662
23.5	26696
23.66667	26705
23.83333	26659
24	26696
