Time	0.5 PrLDf: 25 PrLDm...31
0	4377
0.16667	5069
0.33333	7258
0.5	9522
0.66667	11903
0.83333	14175
1	16324
1.16667	18319
1.33333	20089
1.5	21847
1.66667	23436
1.83333	24907
2	26339
2.16667	27606
2.33333	28797
2.5	29944
2.66667	31071
2.83333	32194
3	33051
3.16667	33942
3.33333	34823
3.5	35649
3.66667	36433
3.83333	37037
4	37665
4.16667	38176
4.33333	38671
4.5	39077
4.66667	39334
4.83333	39681
5	40126
5.16667	40387
5.33333	40644
5.5	41005
5.66667	41176
5.83333	41291
6	41474
6.16667	41589
6.33333	41895
6.5	42036
6.66667	42152
6.83333	42181
7	42264
7.16667	42283
7.33333	42446
7.5	42629
7.66667	42850
7.83333	42994
8	43039
8.16667	43007
8.33333	42947
8.5	42885
8.66667	42797
8.83333	42819
9	42937
9.16667	43003
9.33333	43139
9.5	43202
9.66667	43197
9.83333	43281
10	43255
10.16667	43228
10.33333	43200
10.5	43195
10.66667	43176
10.83333	43288
11	43237
11.16667	43261
11.33333	43303
11.5	43273
11.66667	43191
11.83333	43281
12	43482
12.16667	43506
12.33333	43702
12.5	43809
12.66667	44014
12.83333	44095
13	44237
13.16667	44247
13.33333	44349
13.5	44392
13.66667	44393
13.83333	44442
14	44406
14.16667	44383
14.33333	44182
14.5	44201
14.66667	44184
14.83333	44112
15	44116
15.16667	44086
15.33333	44092
15.5	43950
15.66667	43962
15.83333	43908
16	43977
16.16667	43937
16.33333	43933
16.5	43888
16.66667	43950
16.83333	43963
17	44090
17.16667	44056
17.33333	44112
17.5	44129
17.66667	44221
17.83333	44380
18	44452
18.16667	44514
18.33333	44652
18.5	44797
18.66667	44863
18.83333	44943
19	44948
19.16667	44983
19.33333	44961
19.5	45035
19.66667	45027
19.83333	44924
20	44857
20.16667	44848
20.33333	44777
20.5	44711
20.66667	44738
20.83333	44614
21	44632
21.16667	44607
21.33333	44527
21.5	44557
21.66667	44525
21.83333	44508
22	44532
22.16667	44544
22.33333	44525
22.5	44467
22.66667	44488
22.83333	44608
23	44550
23.16667	44674
23.33333	44704
23.5	44678
23.66667	44777
23.83333	44886
24	44910
