Time	2 PrLDf: 15 PrLDm...54
0	8445
0.16667	12336
0.33333	17869
0.5	21342
0.66667	22403
0.83333	22909
1	23221
1.16667	23414
1.33333	23569
1.5	23712
1.66667	23950
1.83333	23934
2	24015
2.16667	24130
2.33333	24201
2.5	24308
2.66667	24338
2.83333	24385
3	24336
3.16667	24366
3.33333	24444
3.5	24467
3.66667	24526
3.83333	24676
4	24687
4.16667	24690
4.33333	24813
4.5	24900
4.66667	24844
4.83333	24775
5	24912
5.16667	24633
5.33333	24835
5.5	24706
5.66667	24982
5.83333	25140
6	24996
6.16667	24850
6.33333	24893
6.5	25099
6.66667	24835
6.83333	24864
7	25124
7.16667	25121
7.33333	25110
7.5	25272
7.66667	25240
7.83333	25236
8	25303
8.16667	25335
8.33333	25229
8.5	25213
8.66667	25305
8.83333	25374
9	25439
9.16667	25386
9.33333	25447
9.5	25344
9.66667	25354
9.83333	25290
10	25505
10.16667	25491
10.33333	25557
10.5	25542
10.66667	25568
10.83333	25653
11	25709
11.16667	25713
11.33333	25663
11.5	25808
11.66667	25767
11.83333	25808
12	25681
12.16667	25797
12.33333	25760
12.5	25775
12.66667	25759
12.83333	25841
13	25865
13.16667	25866
13.33333	25948
13.5	26023
13.66667	26044
13.83333	26061
14	25959
14.16667	26006
14.33333	25958
14.5	25939
14.66667	26207
14.83333	26111
15	26227
15.16667	26356
15.33333	26201
15.5	26148
15.66667	26076
15.83333	26148
16	26364
16.16667	26316
16.33333	26499
16.5	26295
16.66667	26299
16.83333	26495
17	26513
17.16667	26498
17.33333	26570
17.5	26572
17.66667	26573
17.83333	26619
18	26248
18.16667	26523
18.33333	26730
18.5	26650
18.66667	26236
18.83333	26360
19	26510
19.16667	26494
19.33333	26120
19.5	26217
19.66667	26393
19.83333	26325
20	26220
20.16667	26150
20.33333	26029
20.5	26084
20.66667	26442
20.83333	26078
21	26086
21.16667	26237
21.33333	26267
21.5	26078
21.66667	26000
21.83333	26192
22	26125
22.16667	26175
22.33333	26089
22.5	26184
22.66667	26116
22.83333	26161
23	26098
23.16667	26149
23.33333	26258
23.5	26121
23.66667	26113
23.83333	26039
24	26158
