Time	1 PrLDf: 20 PrLDm...41
0	3786
0.16667	4036
0.33333	4804
0.5	5807
0.66667	6635
0.83333	7448
1	8176
1.16667	8873
1.33333	9559
1.5	10174
1.66667	10776
1.83333	11329
2	11891
2.16667	12445
2.33333	12972
2.5	13455
2.66667	13946
2.83333	14419
3	14877
3.16667	15284
3.33333	15734
3.5	16104
3.66667	16434
3.83333	16841
4	17219
4.16667	17510
4.33333	17872
4.5	18115
4.66667	18386
4.83333	18602
5	18899
5.16667	19110
5.33333	19244
5.5	19479
5.66667	19708
5.83333	19869
6	20006
6.16667	20216
6.33333	20453
6.5	20525
6.66667	20668
6.83333	20888
7	20965
7.16667	21136
7.33333	21259
7.5	21245
7.66667	21322
7.83333	21536
8	21474
8.16667	21605
8.33333	21798
8.5	21767
8.66667	21783
8.83333	22079
9	22038
9.16667	22190
9.33333	22362
9.5	22205
9.66667	22405
9.83333	22414
10	22341
10.16667	22487
10.33333	22425
10.5	22527
10.66667	22609
10.83333	22566
11	22637
11.16667	22738
11.33333	22793
11.5	22874
11.66667	22834
11.83333	22908
12	22913
12.16667	22827
12.33333	22978
12.5	22970
12.66667	22985
12.83333	23065
13	22987
13.16667	23181
13.33333	23200
13.5	23250
13.66667	23115
13.83333	23093
14	23144
14.16667	23172
14.33333	23130
14.5	23394
14.66667	23368
14.83333	23281
15	23329
15.16667	23384
15.33333	23395
15.5	23279
15.66667	23384
15.83333	23401
16	23364
16.16667	23368
16.33333	23532
16.5	23442
16.66667	23529
16.83333	23593
17	23538
17.16667	23496
17.33333	23413
17.5	23436
17.66667	23420
17.83333	23544
18	23591
18.16667	23632
18.33333	23533
18.5	23680
18.66667	23646
18.83333	23585
19	23595
19.16667	23631
19.33333	23568
19.5	23554
19.66667	23753
19.83333	23636
20	23629
20.16667	23684
20.33333	23785
20.5	23674
20.66667	23643
20.83333	23665
21	23625
21.16667	23652
21.33333	23778
21.5	23739
21.66667	23719
21.83333	23810
22	23954
22.16667	23879
22.33333	23680
22.5	23785
22.66667	23750
22.83333	23738
23	23797
23.16667	23936
23.33333	23714
23.5	23891
23.66667	24023
23.83333	23889
24	23903
