Time	0.1 PrLDf: 5 PrLDm...4
0	3170
0.16667	3013
0.33333	3152
0.5	3357
0.66667	3557
0.83333	3678
1	3824
1.16667	3950
1.33333	4074
1.5	4208
1.66667	4304
1.83333	4431
2	4584
2.16667	4686
2.33333	4765
2.5	4884
2.66667	4991
2.83333	5084
3	5158
3.16667	5255
3.33333	5329
3.5	5427
3.66667	5503
3.83333	5600
4	5655
4.16667	5743
4.33333	5788
4.5	5869
4.66667	5947
4.83333	6022
5	6072
5.16667	6117
5.33333	6166
5.5	6215
5.66667	6245
5.83333	6300
6	6356
6.16667	6407
6.33333	6451
6.5	6520
6.66667	6580
6.83333	6623
7	6662
7.16667	6716
7.33333	6752
7.5	6775
7.66667	6812
7.83333	6877
8	6919
8.16667	6938
8.33333	7029
8.5	7050
8.66667	7088
8.83333	7112
9	7176
9.16667	7194
9.33333	7246
9.5	7328
9.66667	7332
9.83333	7370
10	7406
10.16667	7443
10.33333	7476
10.5	7494
10.66667	7506
10.83333	7591
11	7594
11.16667	7663
11.33333	7689
11.5	7707
11.66667	7734
11.83333	7762
12	7802
12.16667	7810
12.33333	7848
12.5	7866
12.66667	7911
12.83333	7914
13	7939
13.16667	7981
13.33333	8026
13.5	8026
13.66667	8018
13.83333	8100
14	8091
14.16667	8107
14.33333	8148
14.5	8143
14.66667	8136
14.83333	8163
15	8201
15.16667	8193
15.33333	8236
15.5	8247
15.66667	8267
15.83333	8252
16	8285
16.16667	8259
16.33333	8286
16.5	8296
16.66667	8337
16.83333	8315
17	8350
17.16667	8368
17.33333	8354
17.5	8390
17.66667	8377
17.83333	8426
18	8391
18.16667	8420
18.33333	8430
18.5	8400
18.66667	8465
18.83333	8459
19	8433
19.16667	8452
19.33333	8469
19.5	8451
19.66667	8482
19.83333	8472
20	8461
20.16667	8474
20.33333	8487
20.5	8523
20.66667	8500
20.83333	8499
21	8518
21.16667	8528
21.33333	8526
21.5	8530
21.66667	8555
21.83333	8542
22	8581
22.16667	8559
22.33333	8545
22.5	8574
22.66667	8592
22.83333	8586
23	8617
23.16667	8567
23.33333	8605
23.5	8602
23.66667	8608
23.83333	8638
24	8623
