Time	25 PrLDm...89
0	2897
0.16667	2672
0.33333	2617
0.5	2905
0.66667	2809
0.83333	2776
1	2763
1.16667	2744
1.33333	2737
1.5	2723
1.66667	2737
1.83333	2751
2	2732
2.16667	2746
2.33333	2738
2.5	2746
2.66667	2734
2.83333	2744
3	2719
3.16667	2732
3.33333	2727
3.5	2718
3.66667	2742
3.83333	2746
4	2728
4.16667	2742
4.33333	2733
4.5	2731
4.66667	2744
4.83333	2710
5	2725
5.16667	2729
5.33333	2736
5.5	2722
5.66667	2717
5.83333	2726
6	2712
6.16667	2696
6.33333	2719
6.5	2703
6.66667	2706
6.83333	2703
7	2720
7.16667	2712
7.33333	2720
7.5	2702
7.66667	2699
7.83333	2702
8	2700
8.16667	2708
8.33333	2700
8.5	2718
8.66667	2700
8.83333	2721
9	2706
9.16667	2729
9.33333	2733
9.5	2742
9.66667	2740
9.83333	2739
10	2740
10.16667	2755
10.33333	2768
10.5	2768
10.66667	2772
10.83333	2795
11	2788
11.16667	2801
11.33333	2835
11.5	2864
11.66667	2889
11.83333	2875
12	2904
12.16667	2925
12.33333	2930
12.5	2955
12.66667	2993
12.83333	3026
13	3061
13.16667	3094
13.33333	3134
13.5	3174
13.66667	3201
13.83333	3268
14	3309
14.16667	3353
14.33333	3411
14.5	3489
14.66667	3557
14.83333	3631
15	3707
15.16667	3802
15.33333	3909
15.5	4012
15.66667	4131
15.83333	4286
16	4449
16.16667	4629
16.33333	4818
16.5	5060
16.66667	5318
16.83333	5632
17	5952
17.16667	6364
17.33333	6783
17.5	7338
17.66667	7897
17.83333	8504
18	9168
18.16667	9948
18.33333	10786
18.5	11760
18.66667	12795
18.83333	14060
19	15412
19.16667	16831
19.33333	18207
19.5	19586
19.66667	20842
19.83333	21909
20	22923
20.16667	23743
20.33333	24476
20.5	25557
20.66667	26918
20.83333	28149
21	28768
21.16667	29542
21.33333	30018
21.5	30770
21.66667	31432
21.83333	31667
22	31698
22.16667	31632
22.33333	32214
22.5	32852
22.66667	32983
22.83333	32970
23	33026
23.16667	33408
23.33333	33757
23.5	33631
23.66667	33351
23.83333	33336
24	33628
