Time	0.5 PrLDf: 15 PrLDm...24
0	5021
0.16667	5364
0.33333	6955
0.5	9066
0.66667	10992
0.83333	12742
1	14343
1.16667	15773
1.33333	17024
1.5	18113
1.66667	19132
1.83333	19919
2	20505
2.16667	21064
2.33333	21475
2.5	21730
2.66667	22074
2.83333	22315
3	22522
3.16667	22644
3.33333	22845
3.5	23029
3.66667	23071
3.83333	23228
4	23282
4.16667	23388
4.33333	23445
4.5	23461
4.66667	23566
4.83333	23629
5	23614
5.16667	23668
5.33333	23664
5.5	23732
5.66667	23791
5.83333	23839
6	23799
6.16667	23735
6.33333	23843
6.5	23857
6.66667	23909
6.83333	23903
7	23975
7.16667	23998
7.33333	24117
7.5	24131
7.66667	24081
7.83333	24130
8	24189
8.16667	24188
8.33333	24106
8.5	24275
8.66667	24252
8.83333	24280
9	24345
9.16667	24383
9.33333	24411
9.5	24443
9.66667	24456
9.83333	24505
10	24465
10.16667	24429
10.33333	24516
10.5	24703
10.66667	24637
10.83333	24524
11	24646
11.16667	24822
11.33333	24979
11.5	25155
11.66667	25295
11.83333	24974
12	24579
12.16667	24416
12.33333	24620
12.5	25148
12.66667	25482
12.83333	25503
13	25098
13.16667	24788
13.33333	24865
13.5	24971
13.66667	25020
13.83333	25050
14	25357
14.16667	25297
14.33333	24950
14.5	24792
14.66667	25371
14.83333	25256
15	25287
15.16667	25340
15.33333	25308
15.5	25497
15.66667	25432
15.83333	25280
16	25357
16.16667	25311
16.33333	25369
16.5	25445
16.66667	25506
16.83333	25516
17	25448
17.16667	25514
17.33333	25386
17.5	25374
17.66667	25330
17.83333	25519
18	25550
18.16667	25465
18.33333	25510
18.5	25531
18.66667	25586
18.83333	25624
19	25560
19.16667	25408
19.33333	25526
19.5	25549
19.66667	25563
19.83333	25580
20	25656
20.16667	25574
20.33333	25686
20.5	25618
20.66667	25455
20.83333	25499
21	25440
21.16667	25668
21.33333	25695
21.5	25514
21.66667	25710
21.83333	25623
22	25640
22.16667	25538
22.33333	25447
22.5	25519
22.66667	25470
22.83333	25662
23	25623
23.16667	25553
23.33333	25670
23.5	25658
23.66667	25586
23.83333	25682
24	25635
