Time	0.1 PrLDf: 20 PrLDm...13
0	3308
0.16667	3119
0.33333	3424
0.5	3646
0.66667	3801
0.83333	3964
1	4107
1.16667	4258
1.33333	4421
1.5	4534
1.66667	4682
1.83333	4798
2	4909
2.16667	5025
2.33333	5160
2.5	5231
2.66667	5325
2.83333	5449
3	5536
3.16667	5637
3.33333	5721
3.5	5807
3.66667	5933
3.83333	6001
4	6110
4.16667	6191
4.33333	6265
4.5	6345
4.66667	6457
4.83333	6562
5	6609
5.16667	6873
5.33333	7149
5.5	7225
5.66667	7197
5.83333	7316
6	7371
6.16667	7466
6.33333	7570
6.5	7656
6.66667	7780
6.83333	7869
7	7950
7.16667	8034
7.33333	8136
7.5	8221
7.66667	8319
7.83333	8447
8	8539
8.16667	8630
8.33333	8720
8.5	8840
8.66667	8951
8.83333	9018
9	9136
9.16667	9278
9.33333	9373
9.5	9502
9.66667	9570
9.83333	9733
10	9902
10.16667	10075
10.33333	10239
10.5	10390
10.66667	10564
10.83333	10799
11	10973
11.16667	11185
11.33333	11487
11.5	11641
11.66667	11880
11.83333	12096
12	12555
12.16667	12839
12.33333	13023
12.5	13460
12.66667	13692
12.83333	14000
13	14669
13.16667	14774
13.33333	15407
13.5	15652
13.66667	16332
13.83333	16478
14	17250
14.16667	17309
14.33333	18037
14.5	18473
14.66667	19083
14.83333	19245
15	20262
15.16667	20652
15.33333	20859
15.5	21131
15.66667	21414
15.83333	22570
16	21869
16.16667	23364
16.33333	23364
16.5	23401
16.66667	24811
16.83333	23991
17	25491
17.16667	25247
17.33333	25555
17.5	26421
17.66667	26294
17.83333	26914
18	26850
18.16667	26718
18.33333	27198
18.5	27304
18.66667	27290
18.83333	27901
19	27921
19.16667	28378
19.33333	28395
19.5	28500
19.66667	28237
19.83333	28521
20	28727
20.16667	29007
20.33333	29152
20.5	29313
20.66667	29475
20.83333	29629
21	29835
21.16667	29894
21.33333	29681
21.5	29883
21.66667	30254
21.83333	29999
22	30488
22.16667	30352
22.33333	30382
22.5	30524
22.66667	30382
22.83333	30289
23	30969
23.16667	30731
23.33333	30989
23.5	30464
23.66667	31123
23.83333	30878
24	30765
