Time	0.5 PrLDf: 5 PrLDm...18
0	4508
0.16667	4692
0.33333	5700
0.5	6605
0.66667	7369
0.83333	7873
1	8164
1.16667	8407
1.33333	8604
1.5	8675
1.66667	8743
1.83333	8745
2	8789
2.16667	8815
2.33333	8835
2.5	8816
2.66667	8830
2.83333	8887
3	8885
3.16667	8935
3.33333	8968
3.5	9013
3.66667	9006
3.83333	9028
4	9097
4.16667	9140
4.33333	9139
4.5	9174
4.66667	9189
4.83333	9176
5	9196
5.16667	9188
5.33333	9212
5.5	9235
5.66667	9253
5.83333	9207
6	9259
6.16667	9232
6.33333	9256
6.5	9249
6.66667	9242
6.83333	9281
7	9312
7.16667	9277
7.33333	9289
7.5	9358
7.66667	9331
7.83333	9372
8	9419
8.16667	9360
8.33333	9403
8.5	9383
8.66667	9389
8.83333	9405
9	9388
9.16667	9414
9.33333	9441
9.5	9453
9.66667	9465
9.83333	9405
10	9429
10.16667	9462
10.33333	9455
10.5	9506
10.66667	9553
10.83333	9519
11	9570
11.16667	9598
11.33333	9599
11.5	9613
11.66667	9667
11.83333	9619
12	9703
12.16667	9753
12.33333	9745
12.5	9752
12.66667	9815
12.83333	9799
13	9862
13.16667	9801
13.33333	9863
13.5	9875
13.66667	9858
13.83333	9896
14	9930
14.16667	9942
14.33333	9946
14.5	9989
14.66667	9991
14.83333	9939
15	9993
15.16667	10017
15.33333	9943
15.5	9987
15.66667	10037
15.83333	10032
16	10003
16.16667	9994
16.33333	10051
16.5	9993
16.66667	10096
16.83333	10072
17	10061
17.16667	10076
17.33333	10055
17.5	10084
17.66667	10077
17.83333	10106
18	10127
18.16667	10135
18.33333	10095
18.5	10135
18.66667	10029
18.83333	10111
19	10079
19.16667	10102
19.33333	10083
19.5	10113
19.66667	10111
19.83333	10111
20	10096
20.16667	10133
20.33333	10161
20.5	10135
20.66667	10159
20.83333	10115
21	10157
21.16667	10151
21.33333	10136
21.5	10137
21.66667	10153
21.83333	10182
22	10189
22.16667	10152
22.33333	10161
22.5	10160
22.66667	10172
22.83333	10130
23	10155
23.16667	10175
23.33333	10156
23.5	10169
23.66667	10146
23.83333	10150
24	10160
