Time	25 PrLDm...91
0	3027
0.16667	2724
0.33333	3195
0.5	2807
0.66667	2754
0.83333	2768
1	2754
1.16667	2743
1.33333	2738
1.5	2739
1.66667	2736
1.83333	2750
2	2732
2.16667	2739
2.33333	2738
2.5	2735
2.66667	2730
2.83333	2735
3	2739
3.16667	2721
3.33333	2711
3.5	2717
3.66667	2718
3.83333	2710
4	2726
4.16667	2715
4.33333	2708
4.5	2714
4.66667	2706
4.83333	2742
5	2719
5.16667	2705
5.33333	2698
5.5	2729
5.66667	2724
5.83333	2728
6	2727
6.16667	2725
6.33333	2719
6.5	2724
6.66667	2729
6.83333	2702
7	2723
7.16667	2730
7.33333	2740
7.5	2728
7.66667	2725
7.83333	2724
8	2732
8.16667	2712
8.33333	2743
8.5	2707
8.66667	2723
8.83333	2735
9	2720
9.16667	2742
9.33333	2718
9.5	2723
9.66667	2726
9.83333	2749
10	2733
10.16667	2739
10.33333	2747
10.5	2740
10.66667	2761
10.83333	2760
11	2778
11.16667	2783
11.33333	2789
11.5	2816
11.66667	2826
11.83333	2832
12	2859
12.16667	2873
12.33333	2885
12.5	2917
12.66667	2957
12.83333	2991
13	3001
13.16667	3056
13.33333	3091
13.5	3147
13.66667	3206
13.83333	3292
14	3350
14.16667	3464
14.33333	3540
14.5	3666
14.66667	3836
14.83333	3981
15	4173
15.16667	4384
15.33333	4624
15.5	4887
15.66667	5269
15.83333	5685
16	6155
16.16667	6683
16.33333	7370
16.5	8262
16.66667	9144
16.83333	10178
17	11429
17.16667	12729
17.33333	14349
17.5	16103
17.66667	18105
17.83333	20373
18	23031
18.16667	25657
18.33333	28595
18.5	31463
18.66667	34888
18.83333	38255
19	42120
19.16667	46513
19.33333	51913
19.5	56120
19.66667	59357
19.83333	63414
20	67545
20.16667	69989
20.33333	72978
20.5	77388
20.66667	79234
20.83333	80893
21	83850
21.16667	86219
21.33333	86612
21.5	87188
21.66667	89521
21.83333	90340
22	90181
22.16667	92629
22.33333	96473
22.5	96281
22.66667	OVRFLW
22.83333	OVRFLW
23	OVRFLW
23.16667	OVRFLW
23.33333	OVRFLW
23.5	OVRFLW
23.66667	OVRFLW
23.83333	OVRFLW
24	OVRFLW
