Time	10 PrLDm...80
0	2785
0.16667	2639
0.33333	2588
0.5	2591
0.66667	2686
0.83333	2681
1	2651
1.16667	2657
1.33333	2678
1.5	2659
1.66667	2671
1.83333	2683
2	2690
2.16667	2682
2.33333	2668
2.5	2724
2.66667	2731
2.83333	2712
3	2724
3.16667	2705
3.33333	2708
3.5	2714
3.66667	2718
3.83333	2709
4	2728
4.16667	2720
4.33333	2712
4.5	2697
4.66667	2700
4.83333	2694
5	2700
5.16667	2680
5.33333	2717
5.5	2688
5.66667	2696
5.83333	2691
6	2699
6.16667	2675
6.33333	2682
6.5	2672
6.66667	2694
6.83333	2675
7	2677
7.16667	2665
7.33333	2669
7.5	2662
7.66667	2690
7.83333	2695
8	2709
8.16667	2704
8.33333	2697
8.5	2702
8.66667	2708
8.83333	2708
9	2685
9.16667	2683
9.33333	2690
9.5	2687
9.66667	2681
9.83333	2693
10	2684
10.16667	2689
10.33333	2688
10.5	2674
10.66667	2688
10.83333	2670
11	2682
11.16667	2667
11.33333	2680
11.5	2667
11.66667	2673
11.83333	2689
12	2689
12.16667	2684
12.33333	2695
12.5	2687
12.66667	2703
12.83333	2687
13	2697
13.16667	2688
13.33333	2687
13.5	2710
13.66667	2695
13.83333	2695
14	2694
14.16667	2708
14.33333	2711
14.5	2701
14.66667	2711
14.83333	2702
15	2698
15.16667	2713
15.33333	2699
15.5	2701
15.66667	2711
15.83333	2698
16	2695
16.16667	2705
16.33333	2719
16.5	2691
16.66667	2711
16.83333	2712
17	2731
17.16667	2696
17.33333	2704
17.5	2699
17.66667	2714
17.83333	2707
18	2704
18.16667	2718
18.33333	2716
18.5	2735
18.66667	2729
18.83333	2718
19	2727
19.16667	2727
19.33333	2737
19.5	2738
19.66667	2737
19.83333	2748
20	2736
20.16667	2741
20.33333	2765
20.5	2756
20.66667	2771
20.83333	2751
21	2769
21.16667	2772
21.33333	2765
21.5	2801
21.66667	2798
21.83333	2797
22	2805
22.16667	2815
22.33333	2816
22.5	2818
22.66667	2804
22.83333	2829
23	2842
23.16667	2849
23.33333	2868
23.5	2864
23.66667	2872
23.83333	2881
24	2891
