Time	4 PrLDf: 25 PrLDm...76
0	10385
0.16667	18621
0.33333	30920
0.5	37484
0.66667	39788
0.83333	41130
1	41727
1.16667	42236
1.33333	42543
1.5	42772
1.66667	42976
1.83333	43105
2	43335
2.16667	43405
2.33333	43401
2.5	43467
2.66667	43631
2.83333	43716
3	43656
3.16667	43823
3.33333	43819
3.5	43877
3.66667	43932
3.83333	44065
4	44057
4.16667	44119
4.33333	44092
4.5	44166
4.66667	44200
4.83333	44291
5	44209
5.16667	44270
5.33333	44206
5.5	44237
5.66667	44248
5.83333	44328
6	44305
6.16667	44340
6.33333	44332
6.5	44326
6.66667	44355
6.83333	44430
7	44393
7.16667	44475
7.33333	44516
7.5	44533
7.66667	44515
7.83333	44650
8	44578
8.16667	44542
8.33333	44669
8.5	44647
8.66667	44640
8.83333	44674
9	44647
9.16667	44720
9.33333	44691
9.5	44683
9.66667	44680
9.83333	44716
10	44700
10.16667	44699
10.33333	44694
10.5	44653
10.66667	44576
10.83333	44690
11	44705
11.16667	44691
11.33333	44744
11.5	44704
11.66667	44792
11.83333	44784
12	44775
12.16667	44804
12.33333	44837
12.5	44759
12.66667	44881
12.83333	44826
13	44800
13.16667	44894
13.33333	44874
13.5	44835
13.66667	44835
13.83333	44908
14	44904
14.16667	44922
14.33333	44945
14.5	44913
14.66667	44953
14.83333	44988
15	44935
15.16667	45059
15.33333	45010
15.5	45028
15.66667	44970
15.83333	45051
16	45050
16.16667	45048
16.33333	45014
16.5	45002
16.66667	45072
16.83333	45037
17	44953
17.16667	45140
17.33333	45060
17.5	45152
17.66667	45063
17.83333	45027
18	45037
18.16667	45150
18.33333	45122
18.5	45113
18.66667	45118
18.83333	45101
19	45139
19.16667	45138
19.33333	45204
19.5	45151
19.66667	45187
19.83333	45116
20	45165
20.16667	45124
20.33333	45217
20.5	45179
20.66667	45211
20.83333	45201
21	45210
21.16667	45253
21.33333	45235
21.5	45319
21.66667	45281
21.83333	45255
22	45258
22.16667	45311
22.33333	45272
22.5	45270
22.66667	45287
22.83333	45339
23	45362
23.16667	45332
23.33333	45346
23.5	45389
23.66667	45398
23.83333	45343
24	45427
