hours	00 aSf 00 PrLDm	00 aSf 25 PrLDm	00 aSf 20 PrLDm	00 aSf 15 PrLDm	00 aSf 10 PrLDm	00 aSf 05 PrLDm	04 aSf 25 PrLDm	04 aSf 20 PrLDm	04 aSf 15 PrLDm	04 aSf 10 PrLDm	04 aSf 05 PrLDm	04 aSf 00 PrLDm	02 aSf 25 PrLDm	02 aSf 20 PrLDm	02 aSf 15 PrLDm	02 aSf 10 PrLDm	02 aSf 05 PrLDm	02 aSf 00 PrLDm	01 aSf 25 PrLDm	01 aSf 20 PrLDm	01 aSf 15 PrLDm	01 aSf 10 PrLDm	01 aSf 05 PrLDm	01 aSf 00 PrLDm
0	0.10276421126831478	0.02136768694304533	0.009829363103875608	0.011442281074097997	0.04448307597913897	0.13560510447342589	1	0.009563797527408444	0.02798283261802575	0.014820799059929494	0.050061299550469965	0.07570349464596995	0.034669642145532795	0.011967463789661471	0.013649298052967778	0.0151657398714523	0.03405951535243508	0.1448394137823511	1	0.013583588806992368	0.016669664807819153	0.01024240948770563	0.016653282049114503	0.19425136201390195
0.16666666666666666	0.028699461255727306	0.007322743122820612	0.0036966031500566673	0.0026760173479745317	0.019838429287248185	0.05763567522086664	0.41415313225058004	0.004347180694276566	0.012103004291845493	0.005890129259694477	0.02513281569268492	0.03312027890761186	0.015023511596397546	0.004290022511999321	0.00497089487915176	0.006878746298837293	0.013615912858157707	0.05846585594013096	0.4244244244244244	0.004337616593829496	0.006056245128020627	0.004260424999130525	0.014624455809628472	0.0881082096562089
0.3333333333333333	0.017320376617491567	0.002402169701666021	0.0012710383323977078	0.005444311156224047	0.00843644544431946	0.02033375403169261	0.0951276102088167	0.001166316771635176	0.0038340486409155937	0.0023061104582843715	0.009603596240294238	0.011787166929526024	0.0025105602932972027	6.477509238414815e-4	0.0012633865844875018	0.0022387520762620064	0.0033151787828557895	0.018553164951668227	0.11711711711711711	0	6.196158381803282e-4	4.5212673460160677e-4	0.004311255758907815	0.03343978959233515
0.5	0.014903579880167162	5.424254165052305e-4	3.919034858226266e-4	0.0057057611270031686	0.003988137846405563	0.008133501612677044	0.6960556844547564	1.5904319613206948e-4	0.001402002861230329	0.00668331374853114	0.00415474730963084	0.008964887523864862	0.002590260620068542	0	0	8.846681591680508e-4	0	0.0031181789834736516	0.044044044044044044	0.004745287326332268	0.007035637904499211	0.009338156018502417	0.0020710934528086564	0.021040766485064814
0.6666666666666666	0.018377725190070995	0.002150329329717164	1.1651184713645656e-4	0.007136046261265418	0.0018918089784231516	0.0051886130977422526	0.6890951276102089	0.0013253599677672456	1.430615164520744e-4	0.005552291421856639	0.008990600735594606	0.024736448908441937	0.014027257511755799	0.004194452703563692	0.004179802344939959	0.005976023687441323	0.014484173967953273	0	0.3793793793793794	0.0036201161046246167	0.005996282304970918	0.010433693875421694	0.0054102033052960815	0.06218297952282548
0.8333333333333334	0.017521776345601932	0.0022859356838434717	7.202550550253678e-4	0.004598443603703362	0	0	0.48839907192575405	0.003043026485993596	0.005665236051502146	0.005126321974148061	0.00469963220269718	0.02133311197808583	0.009285088068861082	0.0029414263262965636	0.00436871996505024	0.004748320935942804	0.013142315889178309	0.05659494855004677	0.4024024024024024	0.002266649272715413	0.005636505366672663	0.00893819775327792	0.006678219704974851	0.04659026864550066
1	0.01661547756910528	0.001511042231693142	7.520310133353105e-4	0.001461043954353911	0.015492381634113917	0.04669751787968027	0.2552204176334107	0.0027885573721822847	0.004377682403433477	0.004318448883666275	0.00469963220269718	0.016518635344899144	0.009165537578704072	0.0032175168839994905	0.004250646452481315	0.004260850725788979	0.011366327255505565	0.06439039600873091	0.43743743743743746	0.0015491487835105342	0.005416641682157062	0.007651375508642576	0.0066359524916522255	0.03588202141649446
1.1666666666666667	0.016665827501132872	0.0015885315769081751	0.0012922223046043363	9.996616529789916e-4	0.01385622251763984	0.03828355069415229	0.2633410672853828	0.0021311788281697308	0.0036337625178826894	0.003128672150411281	0.0031330881351314534	0.013779364157051548	0.007571531043277278	0.0032812300896232424	0.004510408180132951	0.0033942370188488483	0.010892730286526165	0.0930776426566885	0.5395395395395396	0.0010599439045072077	0.004976914313125862	0.007460091120926512	0.006255547571748595	0.02987037384933308
1.3333333333333333	0.01681687729721565	0.0011235955056179776	0.0010380146381247948	7.997293223831934e-4	0.011401983842928724	0.03421679988781377	0.2099767981438515	0.0016116377208049706	0.0029184549356223175	0.0023061104582843715	0.00415474730963084	0.010874076533576825	0.006216625488164502	0.003493607441702417	0.004935472825381082	0.0026901133819599915	0.009274607309179887	0.11739943872778298	0.6036036036036037	0.001989433174613528	0.005196777997641462	0.00652105867213856	0.006255547571748595	0.030246101822280668
1.5	0.017068626957353606	0.0012010848508330104	7.520310133353105e-4	3.691058410999354e-4	0.010583904284691687	0.029869583508624318	0.15777262180974477	0.0017388722777106262	0.002603719599427754	0.0018948296122209165	0.0031330881351314534	0.008217813563542791	0.009922690683031801	0.00330246782483116	0.004864628717839727	0.0025817866685924748	0.009708737864077669	0.050826317430620514	0.36236236236236236	0.001989433174613528	0.004617137374827607	0.0059645949987827355	0.006044211505135466	0.026300958106331016
