"Time","hours","1 aSf 10 PrLDm","1 aSf 15 PrLDm","1 aSf 20 PrLDm","1 aSf 30 PrLDm","2 aSf 10 PrLDm","2 aSf 15 PrLDm","2 aSf 20 PrLDm","2 aSf 30 PrLDm","4 aSf 10 PrLDm","4 aSf 15 PrLDm","4 aSf 20 PrLDm","4 aSf 30 PrLDm","0 aSf 10 PrLDm","0 aSf 15 PrLDm","0 aSf 20 PrLDm","0 aSf 30 PrLDm","1 aSf 0 PrLDm","2 aSf 0 PrLDm","4 aSf 0 PrLDm"
1899-12-31 00:00:06,0,3660,2251,3616,3732,4977,4845,4830,4887,7804,7472,7520,7568,2079,2309,2461,2560,4428,5940,9671
1899-12-31 00:10:06,0.166666666666667,3024,2233,3189,3203,4357,4426,4445,4224,6867,6755,6767,7073,2085,2149,2216,2263,3653,4885,7748
1899-12-31 00:20:06,0.333333333333333,3063,2324,3218,3183,4553,4521,4526,4862,6877,7012,6966,7390,2202,2149,2328,2243,3523,4904,7632
1899-12-31 00:30:06,0.5,3187,2342,3456,3439,4774,4794,4884,4809,7279,7350,7363,7474,2264,2306,2458,2443,3555,5016,7867
1899-12-31 00:40:06,0.666666666666667,3283,2391,3502,3483,4972,4991,4979,4903,7767,7703,7658,7529,2274,2396,2514,2544,3871,5297,8427
1899-12-31 00:50:06,0.833333333333333,3345,2435,3586,3624,5097,5121,5200,4841,8053,7869,7781,7837,2303,2494,2549,2633,3981,5446,8674
1899-12-31 01:00:06,1,3407,2470,3665,3696,5232,5282,5232,5065,8080,8009,7613,8026,2317,2530,2594,2707,4079,5487,8814
1899-12-31 01:10:06,1.16666666666667,3420,2472,3680,3688,5274,5341,5282,5003,8043,7844,7493,7908,2327,2547,2630,2735,4154,5585,8979
1899-12-31 01:20:06,1.33333333333333,3438,2480,3709,3748,5329,5402,5273,4975,8089,7855,7282,7946,2354,2555,2648,2758,4169,5567,8923
1899-12-31 01:30:06,1.5,3484,2551,3744,3778,5339,5338,5273,4987,7904,7644,7345,7885,2325,2554,2653,2782,4187,5660,8881
1899-12-31 01:40:06,1.66666666666667,3488,2569,3781,3795,5411,5343,5389,4827,7962,7446,7260,7414,2350,2553,2648,2784,4221,5674,8796
1899-12-31 01:50:06,1.83333333333333,3497,2583,3813,3830,5323,5403,5253,4932,7959,7357,7027,7554,2337,2554,2660,2802,4243,5706,8748
1899-12-31 02:00:06,2,3519,2600,3790,3842,5456,5431,5241,4832,7719,7239,6861,7630,2347,2565,2674,2810,4265,5668,8723
1899-12-31 02:10:06,2.16666666666667,3551,2597,3807,3907,5454,5404,5259,4885,7628,7016,6784,7518,2341,2572,2692,2833,4271,5694,8658
1899-12-31 02:20:06,2.33333333333333,3576,2614,3842,3881,5512,5420,5206,4846,7582,6949,6697,7748,2356,2583,2707,2867,4276,5699,8555
1899-12-31 02:30:06,2.5,3586,2609,3904,3893,5495,5386,5203,4685,7510,6890,6666,7277,2350,2578,2691,2833,4290,5693,8506
