"Time","hours","1 aSf 10 PrLDm","1 aSf 15 PrLDm","1 aSf 20 PrLDm","1 aSf 30 PrLDm","2 aSf 10 PrLDm","2 aSf 15 PrLDm","2 aSf 20 PrLDm","2 aSf 30 PrLDm","4 aSf 10 PrLDm","4 aSf 15 PrLDm","4 aSf 20 PrLDm","4 aSf 30 PrLDm","0 aSf 10 PrLDm","0 aSf 15 PrLDm","0 aSf 20 PrLDm","0 aSf 30 PrLDm","1 aSf 0 PrLDm","2 aSf 0 PrLDm","4 aSf 0 PrLDm"
"6.9444444444444444E-5",0,"2687","2658","2675","2797","2981","2973","2899","2891","3408","3413","3126","3134","2359","2432","2523","2640","3345","4026","4872"
"7.013888888888889E-3",0.166666666666667,"2501","2419","2405","2448","2630","2616","2578","2943","2970","2898","2783","3218","2141","2219","2305","2385","3038","3645","4288"
"1.3958333333333335E-2",0.333333333333333,"2528","2362","2373","2429","2837","2564","2523","2842","2965","3195","2713","3196","2259","2203","2333","2395","2979","3577","4105"
"2.0902777777777781E-2",0.5,"2509","2391","2589","2576","2765","2905","2835","2776","3015","3168","2794","3267","2312","2245","2382","2371","3186","3482","3992"
"2.7847222222222221E-2",0.666666666666667,"2591","2445","2653","2660","2808","2917","2899","2890","3128","3271","3097","3207","2384","2425","2486","2475","3194","3533","4035"
"3.4791666666666672E-2",0.833333333333333,"2630","2484","2707","2729","2965","3007","2994","3010","3291","3354","3249","3295","2426","2485","2577","2560","3253","3604","4140"
"4.1736111111111113E-2",1,"2688","2622","2762","2802","3035","3084","3095","3065","3347","3411","3280","3329","2476","2558","2650","2647","3323","3676","4217"
"4.868055555555556E-2",1.16666666666667,"2711","2665","2794","2824","3066","3117","3130","3302","3357","3416","3293","3349","2489","2587","2677","2667","3366","3713","4229"
"5.5625000000000001E-2",1.33333333333333,"2705","2687","2811","2869","3076","3132","3172","3308","3373","3432","3288","3364","2497","2600","2707","2700","3381","3745","4246"
"6.2569444444444441E-2",1.5,"2723","2706","2830","2887","3115","3159","3196","3331","3386","3441","3251","3383","2498","2602","2719","2734","3374","3766","4249"
"6.9513888888888889E-2",1.66666666666667,"2726","2769","2832","2911","3120","3179","3212","3321","3380","3476","3250","3409","2505","2615","2734","2733","3409","3786","4248"
"7.6458333333333336E-2",1.83333333333333,"2764","2833","2836","2935","3138","3157","3264","3355","3394","3488","3242","3389","2501","2619","2754","2764","3412","3781","4263"
"8.340277777777777E-2",2,"2753","2944","2898","2958","3170","3158","3370","3386","3378","3531","3217","3442","2502","2635","2764","2776","3418","3789","4240"
"9.0347222222222232E-2",2.16666666666667,"2765","3060","2944","3015","3184","3164","3358","3416","3387","3630","3218","3476","2527","2638","2792","2800","3414","3804","4246"
"9.7291666666666665E-2",2.33333333333333,"2791","3250","2972","3034","3220","3180","3490","3438","3375","3654","3203","3506","2532","2650","2799","2819","3441","3822","4199"
"0.10423611111111113",2.5,"2798","3363","3026","3107","3407","3171","3524","3488","3349","3796","3182","3551","2538","2688","2801","2886","3434","3825","4214"
"0.11118055555555556",2.66666666666667,"2805","3709","3089","3183","3437","3178","3702","3506","3354","3777","3188","3570","2542","2698","2843","2920","3454","3819","4199"
"0.11812499999999999",2.83333333333333,"2835","3891","3245","3244","3467","3205","3746","3618","3395","3823","3180","3626","2549","2773","2843","2965","3445","3829","4201"
"0.12506944444444443",3,"2842","4377","3307","3337","3510","3197","4010","3706","3349","3916","3175","3720","2555","2799","2914","2979","3442","3829","4154"
"0.1320138888888889",3.16666666666667,"2875","4967","3497","3496","3571","3207","4089","3692","3337","3967","3188","3750","2549","2899","2954","3035","3470","3828","4159"
"0.13895833333333332",3.33333333333333,"2941","5275","3540","3540","3624","3183","4341","3858","3358","4111","3158","3816","2559","3029","2981","3051","3459","3847","4153"
"0.1459027777777778",3.5,"2956","5836","3743","3682","3698","3216","4565","3869","3339","4199","3177","3921","2567","3001","3031","3106","3462","3818","4145"
"0.15284722222222222",3.66666666666667,"3037","6524","3886","3838","3746","3222","4803","4115","3333","4341","3196","4002","2583","3142","3112","3119","3484","3848","4134"
"0.15979166666666667",3.83333333333333,"3094","7215","4071","4097","3840","3255","5184","4161","3314","4539","3183","4060","2604","3214","3175","3194","3495","3836","4123"
"0.16673611111111111",4,"3168","7969","4280","4310","3928","3280","5604","4381","3326","4698","3207","4140","2606","3328","3263","3268","3508","3820","4094"
"0.17368055555555553",4.16666666666667,"3241","9249","4477","4582","4033","3325","5939","4646","3309","4986","3211","4237","2625","3414","3370","3340","3506","3822","4089"
"0.18062500000000001",4.33333333333333,"3408","9918","4658","4807","4133","3384","6332","4802","3322","5075","3247","4343","2648","3545","3453","3431","3510","3856","4080"
"0.18756944444444446",4.5,"3529","10853","4921","5114","4272","3456","6762","4843","3316","5308","3307","4431","2695","3775","3573","3526","3504","3837","4078"
"0.19451388888888888",4.66666666666667,"3699","11665","5213","5409","4435","3578","7278","5336","3313","5479","3334","4561","2719","3949","3732","3736","3509","3790","4050"
"0.20145833333333332",4.83333333333333,"3900","12909","5680","5877","4677","3725","7905","5487","3333","6125","3431","4715","2791","4133","3943","4061","3539","3842","4053"
"0.2084027777777778",5,"4183","13231","5956","6440","4906","3909","8572","6083","3343","6029","3526","4859","2795","4380","4069","4317","3527","3795","4047"
"0.21534722222222222",5.16666666666667,"4477","13683","6464","6854","5165","4157","9318","6594","3360","6414","3641","5004","2825","4777","4353","4602","3528","3830","4025"
"0.22229166666666667",5.33333333333333,"4828","14978","7084","7494","5438","4471","9607","6904","3351","6892","3775","5247","2928","5155","4600","5010","3513","3788","4021"
"0.22923611111111111",5.5,"5166","15391","7759","8507","5745","4818","10485","7204","3388","7027","3961","5479","3036","5452","4866","5286","3553","3815","4018"
"0.23618055555555553",5.66666666666667,"5536","16338","8457","9360","6035","5257","10990","7874","3434","7279","4178","5664","3104","5744","5134","5976","3528","3769","3994"
"0.24312500000000001",5.83333333333333,"5954","16240","9372","10309","6308","5714","11819","8594","3488","7462","4434","5891","3225","6436","5426","6471","3549","3807","3987"
"0.25006944444444446",6,"6402","17799","9955","11524","6624","6187","12139","8662","3533","8057","4772","6216","3405","6663","5773","7426","3514","3796","3966"
