Time	0.5 PrLDf: 15 PrLDm...23
0	3389
0.16667	3345
0.33333	3748
0.5	4058
0.66667	4365
0.83333	4650
1	4965
1.16667	5245
1.33333	5491
1.5	5734
1.66667	6011
1.83333	6266
2	6538
2.16667	6764
2.33333	6978
2.5	7197
2.66667	7433
2.83333	7714
3	7885
3.16667	8128
3.33333	8340
3.5	8561
3.66667	8741
3.83333	8951
4	9174
4.16667	9365
4.33333	9546
4.5	9777
4.66667	9952
4.83333	10109
5	10299
5.16667	10475
5.33333	10675
5.5	10842
5.66667	11008
5.83333	11183
6	11345
6.16667	11518
6.33333	11642
6.5	11905
6.66667	12025
6.83333	12170
7	12397
7.16667	12530
7.33333	12692
7.5	12810
7.66667	13034
7.83333	13256
8	13431
8.16667	13628
8.33333	13837
8.5	14039
8.66667	14354
8.83333	14545
9	14949
9.16667	15213
9.33333	15465
9.5	15714
9.66667	16155
9.83333	16351
10	16578
10.16667	17009
10.33333	17164
10.5	17363
10.66667	17589
10.83333	17956
11	17870
11.16667	18218
11.33333	18358
11.5	18561
11.66667	18610
11.83333	18802
12	18854
12.16667	18797
12.33333	19014
12.5	19067
12.66667	19162
12.83333	19215
13	19362
13.16667	19210
13.33333	19542
13.5	19437
13.66667	19493
13.83333	19599
14	19573
14.16667	19540
14.33333	19499
14.5	19531
14.66667	19786
14.83333	19689
15	19567
15.16667	19624
15.33333	19521
15.5	19616
15.66667	19603
15.83333	19595
16	19621
16.16667	19612
16.33333	19707
16.5	19694
16.66667	19522
16.83333	19646
17	19594
17.16667	19400
17.33333	19890
17.5	19677
17.66667	19805
17.83333	19555
18	19409
18.16667	19677
18.33333	19595
18.5	19470
18.66667	19693
18.83333	19781
19	19661
19.16667	19806
19.33333	19834
19.5	19651
19.66667	19623
19.83333	19896
20	19780
20.16667	19678
20.33333	19630
20.5	19757
20.66667	19613
20.83333	19854
21	19705
21.16667	19758
21.33333	19769
21.5	19725
21.66667	19676
21.83333	19762
22	19930
22.16667	19867
22.33333	19841
22.5	19782
22.66667	19897
22.83333	19771
23	19762
23.16667	19801
23.33333	19793
23.5	19798
23.66667	19785
23.83333	19727
24	19841
