Time	2 PrLDf...102
0	4779
0.16667	4349
0.33333	4059
0.5	4153
0.66667	4158
0.83333	4170
1	4184
1.16667	4211
1.33333	4214
1.5	4210
1.66667	4202
1.83333	4214
2	4205
2.16667	4230
2.33333	4207
2.5	4219
2.66667	4227
2.83333	4224
3	4254
3.16667	4254
3.33333	4265
3.5	4281
3.66667	4282
3.83333	4264
4	4275
4.16667	4247
4.33333	4271
4.5	4265
4.66667	4276
4.83333	4269
5	4251
5.16667	4260
5.33333	4258
5.5	4245
5.66667	4264
5.83333	4269
6	4252
6.16667	4219
6.33333	4226
6.5	4227
6.66667	4226
6.83333	4254
7	4224
7.16667	4216
7.33333	4240
7.5	4232
7.66667	4214
7.83333	4219
8	4231
8.16667	4238
8.33333	4254
8.5	4252
8.66667	4252
8.83333	4228
9	4215
9.16667	4221
9.33333	4240
9.5	4234
9.66667	4254
9.83333	4210
10	4233
10.16667	4228
10.33333	4227
10.5	4220
10.66667	4222
10.83333	4232
11	4259
11.16667	4229
11.33333	4248
11.5	4253
11.66667	4258
11.83333	4233
12	4261
12.16667	4246
12.33333	4242
12.5	4239
12.66667	4248
12.83333	4240
13	4242
13.16667	4229
13.33333	4229
13.5	4211
13.66667	4227
13.83333	4217
14	4205
14.16667	4241
14.33333	4212
14.5	4226
14.66667	4230
14.83333	4232
15	4239
15.16667	4229
15.33333	4237
15.5	4238
15.66667	4223
15.83333	4263
16	4251
16.16667	4257
16.33333	4275
16.5	4264
16.66667	4263
16.83333	4283
17	4318
17.16667	4309
17.33333	4325
17.5	4335
17.66667	4356
17.83333	4404
18	4415
18.16667	4475
18.33333	4493
18.5	4468
18.66667	4509
18.83333	4549
19	4532
19.16667	4561
19.33333	4570
19.5	4549
19.66667	4614
19.83333	4588
20	4604
20.16667	4634
20.33333	4633
20.5	4645
20.66667	4661
20.83333	4649
21	4659
21.16667	4674
21.33333	4670
21.5	4663
21.66667	4659
21.83333	4661
22	4671
22.16667	4664
22.33333	4647
22.5	4660
22.66667	4658
22.83333	4657
23	4666
23.16667	4659
23.33333	4665
23.5	4651
23.66667	4643
23.83333	4647
24	4642
