Time	4 PrLDf: 25 PrLDm...74
0	6607
0.16667	8933
0.33333	12813
0.5	16521
0.66667	19581
0.83333	21935
1	23657
1.16667	24946
1.33333	25947
1.5	26731
1.66667	27356
1.83333	27886
2	28323
2.16667	28587
2.33333	29035
2.5	29407
2.66667	29715
2.83333	29834
3	29894
3.16667	29736
3.33333	29577
3.5	29416
3.66667	29352
3.83333	29503
4	29923
4.16667	30454
4.33333	30904
4.5	31261
4.66667	31702
4.83333	31995
5	32099
5.16667	32041
5.33333	31880
5.5	31563
5.66667	31267
5.83333	30863
6	30592
6.16667	30380
6.33333	30320
6.5	30304
6.66667	30539
6.83333	30866
7	31332
7.16667	31651
7.33333	32011
7.5	32321
7.66667	32620
7.83333	32948
8	33040
8.16667	32951
8.33333	32674
8.5	32420
8.66667	32092
8.83333	31787
9	31448
9.16667	31056
9.33333	30867
9.5	30687
9.66667	30826
9.83333	31093
10	31423
10.16667	31785
10.33333	32117
10.5	32388
10.66667	32712
10.83333	33041
11	33391
11.16667	33480
11.33333	33561
11.5	33480
11.66667	33262
11.83333	33041
12	32695
12.16667	32489
12.33333	32180
12.5	31770
12.66667	31571
12.83333	31318
13	31277
13.16667	31367
13.33333	31576
13.5	31866
13.66667	32094
13.83333	32418
14	32818
14.16667	33039
14.33333	33353
14.5	33652
14.66667	33930
14.83333	33965
15	33953
15.16667	33776
15.33333	33626
15.5	33323
15.66667	33033
15.83333	32693
16	32319
16.16667	31999
16.33333	31811
16.5	31511
16.66667	31428
16.83333	31531
17	31744
17.16667	32006
17.33333	32286
17.5	32680
17.66667	32924
17.83333	33202
18	33527
18.16667	33821
18.33333	33979
18.5	34179
18.66667	34206
18.83333	34104
19	33867
19.16667	33696
19.33333	33313
19.5	33026
19.66667	32724
19.83333	32365
20	32066
20.16667	31830
20.33333	31642
20.5	31666
20.66667	31814
20.83333	32086
21	32358
21.16667	32549
21.33333	32846
21.5	33167
21.66667	33458
21.83333	33797
22	34106
22.16667	34329
22.33333	34399
22.5	34356
22.66667	34236
22.83333	34105
23	33763
23.16667	33533
23.33333	33247
23.5	32989
23.66667	32557
23.83333	32269
24	32011
