Time	1 PrLDf: 15 PrLDm...38
0	3575
0.16667	3859
0.33333	4873
0.5	5504
0.66667	6261
0.83333	6998
1	7667
1.16667	8244
1.33333	8825
1.5	9368
1.66667	9862
1.83333	10416
2	10824
2.16667	11319
2.33333	11727
2.5	12146
2.66667	12520
2.83333	12918
3	13263
3.16667	13563
3.33333	13942
3.5	14250
3.66667	14535
3.83333	14794
4	15131
4.16667	15360
4.33333	15577
4.5	15748
4.66667	15946
4.83333	16189
5	16370
5.16667	16615
5.33333	16761
5.5	16828
5.66667	17021
5.83333	17141
6	17319
6.16667	17427
6.33333	17523
6.5	17663
6.66667	17729
6.83333	17845
7	17942
7.16667	17993
7.33333	18112
7.5	18132
7.66667	18159
7.83333	18253
8	18273
8.16667	18403
8.33333	18416
8.5	18569
8.66667	18631
8.83333	18673
9	18664
9.16667	18709
9.33333	18756
9.5	18738
9.66667	18760
9.83333	18841
10	18906
10.16667	18871
10.33333	18994
10.5	19073
10.66667	19041
10.83333	19083
11	19138
11.16667	19039
11.33333	19028
11.5	19110
11.66667	19127
11.83333	19225
12	19290
12.16667	19372
12.33333	19423
12.5	19318
12.66667	19324
12.83333	19372
13	19244
13.16667	19339
13.33333	19443
13.5	19356
13.66667	19483
13.83333	19487
14	19558
14.16667	19547
14.33333	19487
14.5	19527
14.66667	19429
14.83333	19496
15	19533
15.16667	19530
15.33333	19649
15.5	19775
15.66667	19655
15.83333	19660
16	19555
16.16667	19416
16.33333	19651
16.5	19702
16.66667	19764
16.83333	19887
17	19534
17.16667	19479
17.33333	19625
17.5	19732
17.66667	19800
17.83333	19755
18	19579
18.16667	19657
18.33333	19676
18.5	19664
18.66667	19781
18.83333	19851
19	19822
19.16667	19807
19.33333	19695
19.5	19822
19.66667	19647
19.83333	19820
20	19659
20.16667	19838
20.33333	19873
20.5	19797
20.66667	19956
20.83333	19676
21	19790
21.16667	19799
21.33333	19685
21.5	19779
21.66667	19844
21.83333	20008
22	19923
22.16667	19850
22.33333	19923
22.5	19719
22.66667	19874
22.83333	19886
23	19792
23.16667	19971
23.33333	19986
23.5	19925
23.66667	19902
23.83333	19943
24	19722
