Time	4 PrLDf: 20 PrLDm...73
0	8862
0.16667	15695
0.33333	25762
0.5	30084
0.66667	31437
0.83333	32133
1	32453
1.16667	32800
1.33333	32989
1.5	33199
1.66667	33271
1.83333	33370
2	33469
2.16667	33501
2.33333	33614
2.5	33680
2.66667	33649
2.83333	33664
3	33765
3.16667	33758
3.33333	33895
3.5	33885
3.66667	33655
3.83333	33754
4	34132
4.16667	34284
4.33333	33935
4.5	34148
4.66667	33864
4.83333	33825
5	34162
5.16667	34352
5.33333	33920
5.5	33967
5.66667	34354
5.83333	34479
6	33956
6.16667	34048
6.33333	34345
6.5	34203
6.66667	34191
6.83333	34415
7	34384
7.16667	34342
7.33333	34471
7.5	34373
7.66667	34457
7.83333	34625
8	34795
8.16667	34724
8.33333	34647
8.5	34667
8.66667	34546
8.83333	34816
9	34775
9.16667	34610
9.33333	34626
9.5	34637
9.66667	34667
9.83333	34378
10	34329
10.16667	34897
10.33333	34880
10.5	34843
10.66667	34671
10.83333	34867
11	34831
11.16667	34624
11.33333	34813
11.5	34738
11.66667	34591
11.83333	35030
12	34932
12.16667	34919
12.33333	34944
12.5	34828
12.66667	35032
12.83333	34996
13	34699
13.16667	35067
13.33333	34894
13.5	35153
13.66667	35142
13.83333	34863
14	35167
14.16667	35053
14.33333	35074
14.5	34969
14.66667	34964
14.83333	35069
15	35258
15.16667	35316
15.33333	34975
15.5	35180
15.66667	35081
15.83333	35041
16	35153
16.16667	35245
16.33333	35270
16.5	35553
16.66667	35502
16.83333	35349
17	35536
17.16667	35446
17.33333	35484
17.5	35649
17.66667	35411
17.83333	35546
18	35579
18.16667	35824
18.33333	35596
18.5	35788
18.66667	35660
18.83333	35846
19	35669
19.16667	35734
19.33333	35616
19.5	35635
19.66667	35748
19.83333	35898
20	35952
20.16667	35650
20.33333	35772
20.5	35763
20.66667	35743
20.83333	35966
21	35818
21.16667	35913
21.33333	35677
21.5	35693
21.66667	35945
21.83333	35814
22	35736
22.16667	35878
22.33333	35758
22.5	35818
22.66667	35835
22.83333	35700
23	35769
23.16667	35807
23.33333	35869
23.5	36069
23.66667	35832
23.83333	35938
24	36086
