Time	2 PrLDf: 20 PrLDm...58
0	6676
0.16667	9908
0.33333	16207
0.5	22673
0.66667	27371
0.83333	30164
1	31954
1.16667	32812
1.33333	33396
1.5	33794
1.66667	34160
1.83333	34374
2	34491
2.16667	34704
2.33333	34724
2.5	34884
2.66667	34974
2.83333	35051
3	35121
3.16667	35204
3.33333	35315
3.5	35336
3.66667	35415
3.83333	35496
4	35611
4.16667	35655
4.33333	35704
4.5	35769
4.66667	35722
4.83333	35830
5	35812
5.16667	35895
5.33333	35778
5.5	35753
5.66667	35788
5.83333	35722
6	35757
6.16667	35730
6.33333	35764
6.5	35838
6.66667	35863
6.83333	35861
7	35874
7.16667	35974
7.33333	35997
7.5	36030
7.66667	36047
7.83333	36078
8	36221
8.16667	36172
8.33333	36181
8.5	36201
8.66667	36283
8.83333	36248
9	36288
9.16667	36294
9.33333	36331
9.5	36348
9.66667	36333
9.83333	36404
10	36431
10.16667	36411
10.33333	36477
10.5	36405
10.66667	36435
10.83333	36479
11	36516
11.16667	36526
11.33333	36572
11.5	36582
11.66667	36588
11.83333	36616
12	36561
12.16667	36543
12.33333	36569
12.5	36487
12.66667	36567
12.83333	36526
13	36469
13.16667	36553
13.33333	36514
13.5	36541
13.66667	36513
13.83333	36535
14	36543
14.16667	36516
14.33333	36578
14.5	36608
14.66667	36651
14.83333	36667
15	36650
15.16667	36663
15.33333	36693
15.5	36693
15.66667	36633
15.83333	36689
16	36740
16.16667	36744
16.33333	36784
16.5	36707
16.66667	36774
16.83333	36747
17	36808
17.16667	36884
17.33333	36772
17.5	36825
17.66667	36949
17.83333	36858
18	36846
18.16667	36895
18.33333	36990
18.5	36990
18.66667	37070
18.83333	37026
19	37047
19.16667	37067
19.33333	37080
19.5	37111
19.66667	37092
19.83333	37126
20	37078
20.16667	37166
20.33333	37032
20.5	37046
20.66667	37047
20.83333	37014
21	36965
21.16667	37031
21.33333	36956
21.5	37040
21.66667	36968
21.83333	36980
22	37025
22.16667	36979
22.33333	36973
22.5	37032
22.66667	36991
22.83333	37045
23	37027
23.16667	37098
23.33333	37088
23.5	37058
23.66667	37106
23.83333	37222
24	37173
