Time	4 PrLDf...104
0	4402
0.16667	3975
0.33333	3985
0.5	3976
0.66667	3980
0.83333	3947
1	3915
1.16667	3928
1.33333	3914
1.5	3907
1.66667	3928
1.83333	3910
2	3940
2.16667	3932
2.33333	3950
2.5	3944
2.66667	3913
2.83333	3941
3	3937
3.16667	3932
3.33333	3959
3.5	3951
3.66667	3933
3.83333	3956
4	3951
4.16667	4075
4.33333	4067
4.5	4094
4.66667	4051
4.83333	4063
5	4036
5.16667	4011
5.33333	4030
5.5	4014
5.66667	4048
5.83333	4033
6	4009
6.16667	4013
6.33333	4015
6.5	4005
6.66667	4028
6.83333	4022
7	4004
7.16667	3987
7.33333	4000
7.5	3999
7.66667	3984
7.83333	3975
8	3982
8.16667	3992
8.33333	3975
8.5	3979
8.66667	3982
8.83333	3992
9	3986
9.16667	4007
9.33333	3991
9.5	3976
9.66667	3984
9.83333	3990
10	3980
10.16667	3975
10.33333	3997
10.5	3988
10.66667	3995
10.83333	3984
11	3985
11.16667	3969
11.33333	3961
11.5	3994
11.66667	3980
11.83333	3976
12	3983
12.16667	4000
12.33333	3987
12.5	3983
12.66667	4012
12.83333	3994
13	4015
13.16667	4015
13.33333	3979
13.5	3981
13.66667	3981
13.83333	3983
14	3998
14.16667	3993
14.33333	3975
14.5	3976
14.66667	3988
14.83333	3949
15	3993
15.16667	3945
15.33333	3969
15.5	3965
15.66667	3976
15.83333	3959
16	3983
16.16667	3962
16.33333	3953
16.5	3972
16.66667	3985
16.83333	4006
17	3982
17.16667	3944
17.33333	3961
17.5	3959
17.66667	3963
17.83333	3977
18	3944
18.16667	3922
18.33333	3939
18.5	3942
18.66667	3986
18.83333	3954
19	3949
19.16667	3944
19.33333	3965
19.5	3925
19.66667	3918
19.83333	3953
20	3944
20.16667	3955
20.33333	3893
20.5	3937
20.66667	3980
20.83333	3954
21	3918
21.16667	3932
21.33333	3909
21.5	3941
21.66667	3921
21.83333	3955
22	3930
22.16667	3898
22.33333	3916
22.5	3905
22.66667	3877
22.83333	3925
23	3978
23.16667	3891
23.33333	3942
23.5	3902
23.66667	3937
23.83333	3935
24	3911
