Time	0.1 PrLDf: 25 PrLDm...14
0	3107
0.16667	2920
0.33333	3072
0.5	3158
0.66667	3212
0.83333	3295
1	3342
1.16667	3390
1.33333	3501
1.5	3551
1.66667	3589
1.83333	3652
2	3719
2.16667	3783
2.33333	3841
2.5	3882
2.66667	3945
2.83333	4000
3	4045
3.16667	4115
3.33333	4225
3.5	4239
3.66667	4308
3.83333	4371
4	4424
4.16667	4464
4.33333	4488
4.5	4548
4.66667	4607
4.83333	4655
5	4713
5.16667	4756
5.33333	4795
5.5	4861
5.66667	4902
5.83333	4975
6	5019
6.16667	5118
6.33333	5147
6.5	5180
6.66667	5241
6.83333	5270
7	5327
7.16667	5368
7.33333	5442
7.5	5495
7.66667	5561
7.83333	5600
8	5646
8.16667	5699
8.33333	5771
8.5	5791
8.66667	5857
8.83333	5948
9	6006
9.16667	6021
9.33333	6054
9.5	6107
9.66667	6167
9.83333	6197
10	6247
10.16667	6307
10.33333	6358
10.5	6434
10.66667	6484
10.83333	6548
11	6620
11.16667	6657
11.33333	6749
11.5	6772
11.66667	6872
11.83333	6936
12	7017
12.16667	7057
12.33333	7174
12.5	7336
12.66667	7414
12.83333	7573
13	7781
13.16667	7965
13.33333	8176
13.5	8362
13.66667	8639
13.83333	8981
14	9212
14.16667	9556
14.33333	9873
14.5	10266
14.66667	10669
14.83333	11008
15	11409
15.16667	11833
15.33333	12284
15.5	12705
15.66667	13333
15.83333	13736
16	14213
16.16667	14766
16.33333	15127
16.5	15637
16.66667	15881
16.83333	16278
17	16769
17.16667	17024
17.33333	17315
17.5	17587
17.66667	17683
17.83333	17916
18	18237
18.16667	18523
18.33333	18682
18.5	18851
18.66667	19135
18.83333	19309
19	19294
19.16667	19521
19.33333	19803
19.5	19910
19.66667	19948
19.83333	20126
20	20215
20.16667	20364
20.33333	20570
20.5	20757
20.66667	20816
20.83333	20827
21	21075
21.16667	21138
21.33333	21375
21.5	21489
21.66667	21642
21.83333	21726
22	21788
22.16667	21929
22.33333	22038
22.5	22210
22.66667	22361
22.83333	22414
23	22703
23.16667	22829
23.33333	22902
23.5	23112
23.66667	23159
23.83333	23091
24	23453
