Time	0.1 PrLDf: 10 PrLDm...6
0	3354
0.16667	3176
0.33333	3363
0.5	3688
0.66667	3886
0.83333	4062
1	4258
1.16667	4481
1.33333	4669
1.5	4837
1.66667	5012
1.83333	5168
2	5327
2.16667	5473
2.33333	5607
2.5	5773
2.66667	5924
2.83333	6031
3	6164
3.16667	6281
3.33333	6415
3.5	6508
3.66667	6626
3.83333	6737
4	6836
4.16667	6982
4.33333	7062
4.5	7160
4.66667	7259
4.83333	7368
5	7436
5.16667	7534
5.33333	7610
5.5	7688
5.66667	7829
5.83333	7908
6	7973
6.16667	8055
6.33333	8151
6.5	8223
6.66667	8330
6.83333	8434
7	8511
7.16667	8615
7.33333	8752
7.5	8819
7.66667	8928
7.83333	9057
8	9147
8.16667	9245
8.33333	9365
8.5	9504
8.66667	9615
8.83333	9746
9	9876
9.16667	10025
9.33333	10152
9.5	10304
9.66667	10428
9.83333	10638
10	10801
10.16667	10961
10.33333	11188
10.5	11435
10.66667	11674
10.83333	11998
11	12353
11.16667	12678
11.33333	13034
11.5	13315
11.66667	13704
11.83333	14046
12	14512
12.16667	14754
12.33333	15091
12.5	15503
12.66667	15835
12.83333	16241
13	16602
13.16667	16846
13.33333	17193
13.5	17598
13.66667	17870
13.83333	18086
14	18337
14.16667	18501
14.33333	19010
14.5	19031
14.66667	19129
14.83333	19732
15	19737
15.16667	19678
15.33333	19888
15.5	19978
15.66667	20182
15.83333	20557
16	20093
16.16667	20353
16.33333	20182
16.5	20369
16.66667	20302
16.83333	20376
17	20407
17.16667	20446
17.33333	20825
17.5	20407
17.66667	20517
17.83333	20429
18	20781
18.16667	20834
18.33333	20820
18.5	20490
18.66667	20666
18.83333	20628
19	20772
19.16667	20814
19.33333	20685
19.5	20688
19.66667	20771
19.83333	20981
20	21016
20.16667	20913
20.33333	21079
20.5	20834
20.66667	20962
20.83333	20891
21	21016
21.16667	21004
21.33333	20989
21.5	20969
21.66667	20974
21.83333	20898
22	20805
22.16667	21040
22.33333	21185
22.5	21178
22.66667	21327
22.83333	21015
23	21047
23.16667	20915
23.33333	21024
23.5	21015
23.66667	21095
23.83333	21059
24	21141
