Time	25 PrLDm...90
0	3387
0.16667	3030
0.33333	2972
0.5	3085
0.66667	3197
0.83333	3167
1	3164
1.16667	3158
1.33333	3176
1.5	3170
1.66667	3151
1.83333	3157
2	3165
2.16667	3163
2.33333	3170
2.5	3155
2.66667	3160
2.83333	3128
3	3145
3.16667	3139
3.33333	3110
3.5	3153
3.66667	3142
3.83333	3123
4	3116
4.16667	3110
4.33333	3110
4.5	3105
4.66667	3102
4.83333	3090
5	3090
5.16667	3086
5.33333	3091
5.5	3068
5.66667	3060
5.83333	3066
6	3057
6.16667	3027
6.33333	3008
6.5	3028
6.66667	3087
6.83333	3084
7	3097
7.16667	3094
7.33333	3110
7.5	3103
7.66667	3117
7.83333	3095
8	3103
8.16667	3109
8.33333	3118
8.5	3137
8.66667	3155
8.83333	3150
9	3171
9.16667	3161
9.33333	3188
9.5	3203
9.66667	3219
9.83333	3256
10	3251
10.16667	3283
10.33333	3275
10.5	3326
10.66667	3364
10.83333	3408
11	3426
11.16667	3419
11.33333	3463
11.5	3464
11.66667	3499
11.83333	3506
12	3528
12.16667	3522
12.33333	3561
12.5	3570
12.66667	3581
12.83333	3610
13	3615
13.16667	3644
13.33333	3660
13.5	3692
13.66667	3726
13.83333	3766
14	3816
14.16667	3836
14.33333	3880
14.5	3914
14.66667	3975
14.83333	3999
15	4078
15.16667	4144
15.33333	4201
15.5	4282
15.66667	4435
15.83333	4543
16	4708
16.16667	4920
16.33333	5101
16.5	5365
16.66667	5621
16.83333	5943
17	6251
17.16667	6597
17.33333	6988
17.5	7409
17.66667	7858
17.83333	8394
18	8925
18.16667	9486
18.33333	10131
18.5	10732
18.66667	11465
18.83333	12210
19	13107
19.16667	14031
19.33333	15089
19.5	16205
19.66667	17390
19.83333	18571
20	19641
20.16667	20935
20.33333	22157
20.5	23584
20.66667	25064
20.83333	26693
21	28339
21.16667	29854
21.33333	31195
21.5	32617
21.66667	34132
21.83333	35470
22	35685
22.16667	36315
22.33333	37556
22.5	39445
22.66667	41822
22.83333	43691
23	45423
23.16667	46703
23.33333	48038
23.5	48536
23.66667	48662
23.83333	48014
24	48024
