Time	0.5 PrLDf: 20 PrLDm...27
0	4964
0.16667	5581
0.33333	7469
0.5	9659
0.66667	11989
0.83333	14057
1	16048
1.16667	17878
1.33333	19553
1.5	21081
1.66667	22432
1.83333	23615
2	24710
2.16667	25677
2.33333	26461
2.5	27165
2.66667	27767
2.83333	28297
3	28804
3.16667	29151
3.33333	29578
3.5	29876
3.66667	30183
3.83333	30418
4	30627
4.16667	30659
4.33333	30850
4.5	30999
4.66667	31050
4.83333	31068
5	31187
5.16667	31327
5.33333	31400
5.5	31435
5.66667	31499
5.83333	31563
6	31646
6.16667	31661
6.33333	31563
6.5	31628
6.66667	31787
6.83333	31858
7	31929
7.16667	31918
7.33333	31914
7.5	32062
7.66667	32179
7.83333	32246
8	32237
8.16667	32226
8.33333	32160
8.5	32225
8.66667	32298
8.83333	32407
9	32483
9.16667	32547
9.33333	32474
9.5	32395
9.66667	32444
9.83333	32505
10	32535
10.16667	32600
10.33333	32693
10.5	32696
10.66667	32721
10.83333	32604
11	32668
11.16667	32787
11.33333	32867
11.5	32963
11.66667	32878
11.83333	32915
12	32901
12.16667	32763
12.33333	32754
12.5	32843
12.66667	32956
12.83333	33065
13	32988
13.16667	33016
13.33333	33052
13.5	32969
13.66667	32836
13.83333	32903
14	32910
14.16667	32949
14.33333	33060
14.5	32936
14.66667	32917
14.83333	32934
15	32938
15.16667	32913
15.33333	32924
15.5	32880
15.66667	32759
15.83333	32776
16	32818
16.16667	32941
16.33333	33226
16.5	33338
16.66667	33565
16.83333	33547
17	33549
17.16667	33459
17.33333	33345
17.5	33306
17.66667	33263
17.83333	33094
18	32956
18.16667	32981
18.33333	32972
18.5	32947
18.66667	32944
18.83333	32936
19	33057
19.16667	33318
19.33333	33454
19.5	33688
19.66667	33690
19.83333	33680
20	33675
20.16667	33584
20.33333	33457
20.5	33430
20.66667	33340
20.83333	33269
21	33136
21.16667	33104
21.33333	33146
21.5	33059
21.66667	33100
21.83333	33274
22	33475
22.16667	33648
22.33333	33873
22.5	33874
22.66667	33903
22.83333	33851
23	33825
23.16667	33718
23.33333	33596
23.5	33538
23.66667	33406
23.83333	33305
24	33232
