Time	2 PrLDf: 15 PrLDm...55
0	6342
0.16667	9104
0.33333	14352
0.5	19214
0.66667	22329
0.83333	23901
1	24736
1.16667	25157
1.33333	25428
1.5	25679
1.66667	25877
1.83333	25954
2	26180
2.16667	26300
2.33333	26308
2.5	26408
2.66667	26403
2.83333	26489
3	26608
3.16667	26684
3.33333	26567
3.5	26592
3.66667	26656
3.83333	26648
4	26642
4.16667	26793
4.33333	26803
4.5	26709
4.66667	26892
4.83333	26935
5	26928
5.16667	26929
5.33333	26933
5.5	26910
5.66667	26825
5.83333	26854
6	26848
6.16667	26957
6.33333	26974
6.5	27003
6.66667	26939
6.83333	26934
7	27061
7.16667	27064
7.33333	26871
7.5	26780
7.66667	27233
7.83333	27619
8	27463
8.16667	26611
8.33333	26489
8.5	26929
8.66667	27618
8.83333	27545
9	27105
9.16667	27071
9.33333	27238
9.5	27223
9.66667	27348
9.83333	27445
10	27303
10.16667	27242
10.33333	27288
10.5	27269
10.66667	27204
10.83333	27285
11	27465
11.16667	27328
11.33333	27201
11.5	27376
11.66667	27476
11.83333	27463
12	27494
12.16667	27688
12.33333	27398
12.5	27540
12.66667	27563
12.83333	27495
13	27408
13.16667	27424
13.33333	27562
13.5	27542
13.66667	27574
13.83333	27642
14	27513
14.16667	27698
14.33333	27538
14.5	27521
14.66667	27647
14.83333	27630
15	27538
15.16667	27661
15.33333	27763
15.5	27733
15.66667	27552
15.83333	27902
16	27852
16.16667	27696
16.33333	27792
16.5	27799
16.66667	27572
16.83333	27826
17	27863
17.16667	27660
17.33333	27914
17.5	27913
17.66667	28030
17.83333	27826
18	27604
18.16667	27887
18.33333	27649
18.5	27970
18.66667	27978
18.83333	28234
19	27949
19.16667	27937
19.33333	27920
19.5	27829
19.66667	28050
19.83333	27981
20	28168
20.16667	28030
20.33333	27946
20.5	28010
20.66667	27994
20.83333	27995
21	27976
21.16667	28134
21.33333	28044
21.5	28154
21.66667	28187
21.83333	28208
22	28397
22.16667	28033
22.33333	28127
22.5	28110
22.66667	28261
22.83333	28156
23	28365
23.16667	28162
23.33333	27992
23.5	28164
23.66667	28499
23.83333	27852
24	28189
