Time	0.5 PrLDf...95
0	3199
0.16667	2964
0.33333	3203
0.5	3072
0.66667	3114
0.83333	3139
1	3161
1.16667	3239
1.33333	3280
1.5	3294
1.66667	3310
1.83333	3318
2	3311
2.16667	3288
2.33333	3239
2.5	3221
2.66667	3143
2.83333	3149
3	3116
3.16667	3104
3.33333	3089
3.5	3083
3.66667	3047
3.83333	3048
4	3037
4.16667	3042
4.33333	3021
4.5	3008
4.66667	2982
4.83333	3000
5	2987
5.16667	2963
5.33333	2977
5.5	2960
5.66667	2935
5.83333	2949
6	2949
6.16667	2938
6.33333	2952
6.5	2942
6.66667	2919
6.83333	2938
7	2985
7.16667	2980
7.33333	2975
7.5	2956
7.66667	2940
7.83333	2940
8	2943
8.16667	2933
8.33333	2961
8.5	2941
8.66667	2951
8.83333	2922
9	2925
9.16667	2923
9.33333	2917
9.5	2920
9.66667	2926
9.83333	2915
10	2892
10.16667	2897
10.33333	2909
10.5	2920
10.66667	2913
10.83333	2894
11	2913
11.16667	2904
11.33333	2910
11.5	2923
11.66667	2900
11.83333	2900
12	2919
12.16667	2893
12.33333	2902
12.5	2902
12.66667	2885
12.83333	2885
13	2896
13.16667	2897
13.33333	2909
13.5	2913
13.66667	2889
13.83333	2895
14	2902
14.16667	2907
14.33333	2889
14.5	2881
14.66667	2893
14.83333	2891
15	2882
15.16667	2875
15.33333	2883
15.5	2895
15.66667	2883
15.83333	2881
16	2875
16.16667	2877
16.33333	2880
16.5	2865
16.66667	2860
16.83333	2867
17	2849
17.16667	2858
17.33333	2858
17.5	2847
17.66667	2852
17.83333	2852
18	2842
18.16667	2834
18.33333	2854
18.5	2870
18.66667	2830
18.83333	2846
19	2838
19.16667	2841
19.33333	2842
19.5	2832
19.66667	2828
19.83333	2828
20	2830
20.16667	2826
20.33333	2837
20.5	2829
20.66667	2827
20.83333	2817
21	2837
21.16667	2825
21.33333	2829
21.5	2826
21.66667	2814
21.83333	2818
22	2821
22.16667	2807
22.33333	2820
22.5	2819
22.66667	2825
22.83333	2827
23	2824
23.16667	2832
23.33333	2807
23.5	2829
23.66667	2836
23.83333	2823
24	2825
