Time	2 PrLDf: 25 PrLDm...60
0	9485
0.16667	14825
0.33333	23433
0.5	30303
0.66667	34326
0.83333	36078
1	37007
1.16667	37555
1.33333	37842
1.5	38136
1.66667	38367
1.83333	38435
2	38644
2.16667	38646
2.33333	38893
2.5	38944
2.66667	39024
2.83333	39094
3	39186
3.16667	39280
3.33333	39336
3.5	39383
3.66667	39455
3.83333	39520
4	39607
4.16667	39629
4.33333	39672
4.5	39745
4.66667	39728
4.83333	39817
5	39787
5.16667	39858
5.33333	39784
5.5	39923
5.66667	39935
5.83333	39945
6	39980
6.16667	39983
6.33333	39924
6.5	39966
6.66667	40070
6.83333	40033
7	40042
7.16667	40087
7.33333	40109
7.5	40146
7.66667	40203
7.83333	40289
8	40213
8.16667	40243
8.33333	40263
8.5	40318
8.66667	40282
8.83333	40312
9	40321
9.16667	40332
9.33333	40299
9.5	40309
9.66667	40350
9.83333	40376
10	40382
10.16667	40386
10.33333	40436
10.5	40463
10.66667	40506
10.83333	40625
11	40535
11.16667	40635
11.33333	40655
11.5	40701
11.66667	40811
11.83333	40753
12	40775
12.16667	40770
12.33333	40827
12.5	40796
12.66667	40819
12.83333	40929
13	40914
13.16667	40834
13.33333	40999
13.5	41058
13.66667	41075
13.83333	41174
14	41202
14.16667	41232
14.33333	41291
14.5	41317
14.66667	41374
14.83333	41393
15	41377
15.16667	41521
15.33333	41497
15.5	41523
15.66667	41621
15.83333	41650
16	41673
16.16667	41711
16.33333	41747
16.5	41797
16.66667	41784
16.83333	41818
17	41836
17.16667	41972
17.33333	41982
17.5	42029
17.66667	42084
17.83333	42062
18	42083
18.16667	42071
18.33333	42199
18.5	42125
18.66667	42208
18.83333	42210
19	42229
19.16667	42221
19.33333	42207
19.5	42206
19.66667	42205
19.83333	42208
20	42305
20.16667	42222
20.33333	42225
20.5	42179
20.66667	42255
20.83333	42230
21	42223
21.16667	42240
21.33333	42195
21.5	42137
21.66667	42184
21.83333	42205
22	42189
22.16667	42205
22.33333	42126
22.5	42175
22.66667	42177
22.83333	42212
23	42105
23.16667	42072
23.33333	42086
23.5	42107
23.66667	42150
23.83333	42143
24	42038
