Time	4 PrLDf: 15 PrLDm...70
0	8509
0.16667	13569
0.33333	20316
0.5	23035
0.66667	23934
0.83333	24350
1	24545
1.16667	24737
1.33333	24841
1.5	24936
1.66667	25012
1.83333	25143
2	25206
2.16667	25199
2.33333	25322
2.5	25292
2.66667	25291
2.83333	25282
3	25279
3.16667	25514
3.33333	25487
3.5	25550
3.66667	25568
3.83333	25492
4	25656
4.16667	25678
4.33333	25758
4.5	25719
4.66667	25738
4.83333	25731
5	25721
5.16667	25777
5.33333	25859
5.5	25740
5.66667	25831
5.83333	25877
6	25811
6.16667	25753
6.33333	25954
6.5	25998
6.66667	26041
6.83333	25934
7	25945
7.16667	26050
7.33333	26309
7.5	26184
7.66667	25931
7.83333	25875
8	25727
8.16667	25932
8.33333	25910
8.5	25802
8.66667	25842
8.83333	25980
9	25936
9.16667	26059
9.33333	25875
9.5	26065
9.66667	26177
9.83333	25949
10	25946
10.16667	25972
10.33333	26046
10.5	26055
10.66667	25931
10.83333	25941
11	26016
11.16667	25889
11.33333	26006
11.5	26019
11.66667	25962
11.83333	26023
12	26081
12.16667	26055
12.33333	26125
12.5	26090
12.66667	26112
12.83333	26103
13	26082
13.16667	26072
13.33333	26092
13.5	26081
13.66667	26211
13.83333	26140
14	26079
14.16667	26174
14.33333	26160
14.5	26123
14.66667	26141
14.83333	26184
15	26130
15.16667	26249
15.33333	26095
15.5	26032
15.66667	26207
15.83333	26221
16	26060
16.16667	26138
16.33333	26100
16.5	26126
16.66667	26162
16.83333	26136
17	26117
17.16667	26125
17.33333	26141
17.5	26184
17.66667	26174
17.83333	26168
18	26069
18.16667	26091
18.33333	26146
18.5	26297
18.66667	26170
18.83333	26216
19	26266
19.16667	26255
19.33333	26252
19.5	26324
19.66667	26275
19.83333	26140
20	26297
20.16667	26203
20.33333	26268
20.5	26360
20.66667	26266
20.83333	26350
21	26323
21.16667	26328
21.33333	26335
21.5	26226
21.66667	26327
21.83333	26319
22	26286
22.16667	26357
22.33333	26355
22.5	26278
22.66667	26394
22.83333	26429
23	26357
23.16667	26352
23.33333	26270
23.5	26393
23.66667	26362
23.83333	26338
24	26499
