Time	0.5 PrLDf: 15 PrLDm...25
0	4246
0.16667	4644
0.33333	6148
0.5	7826
0.66667	9435
0.83333	10978
1	12400
1.16667	13729
1.33333	15096
1.5	16159
1.66667	17159
1.83333	18148
2	19041
2.16667	19853
2.33333	20506
2.5	21124
2.66667	21638
2.83333	22172
3	22613
3.16667	22928
3.33333	23273
3.5	23572
3.66667	23884
3.83333	24068
4	24347
4.16667	24514
4.33333	24667
4.5	24811
4.66667	24928
4.83333	25014
5	25142
5.16667	25210
5.33333	25247
5.5	25311
5.66667	25359
5.83333	25379
6	25444
6.16667	25511
6.33333	25575
6.5	25615
6.66667	25681
6.83333	25753
7	25755
7.16667	25797
7.33333	25854
7.5	25845
7.66667	25954
7.83333	25937
8	25952
8.16667	25942
8.33333	25956
8.5	26059
8.66667	26057
8.83333	26041
9	26069
9.16667	26167
9.33333	26112
9.5	26100
9.66667	26165
9.83333	26222
10	26260
10.16667	26219
10.33333	26131
10.5	26042
10.66667	26116
10.83333	26205
11	26171
11.16667	26204
11.33333	26414
11.5	26416
11.66667	26371
11.83333	26332
12	26223
12.16667	26183
12.33333	26199
12.5	26311
12.66667	26532
12.83333	26618
13	26565
13.16667	26523
13.33333	26387
13.5	26478
13.66667	26517
13.83333	26544
14	26633
14.16667	26511
14.33333	26619
14.5	26584
14.66667	26649
14.83333	26561
15	26630
15.16667	26765
15.33333	26706
15.5	26499
15.66667	26637
15.83333	26849
16	26677
16.16667	26589
16.33333	26605
16.5	26738
16.66667	26588
16.83333	26590
17	26657
17.16667	26704
17.33333	26700
17.5	26620
17.66667	26672
17.83333	26728
18	26852
18.16667	26771
18.33333	26786
18.5	26859
18.66667	26887
18.83333	26812
19	26711
19.16667	26861
19.33333	26659
19.5	26835
19.66667	26949
19.83333	26914
20	26885
20.16667	26876
20.33333	26845
20.5	26907
20.66667	26874
20.83333	26910
21	26797
21.16667	26940
21.33333	26913
21.5	26865
21.66667	26878
21.83333	26956
22	26990
22.16667	26940
22.33333	26949
22.5	27003
22.66667	27000
22.83333	26925
23	26909
23.16667	27006
23.33333	27214
23.5	27023
23.66667	27076
23.83333	27231
24	27060
