Time	0.5 PrLDf: 5 PrLDm...19
0	3863
0.16667	4077
0.33333	4845
0.5	5835
0.66667	6603
0.83333	7209
1	7653
1.16667	8000
1.33333	8255
1.5	8396
1.66667	8539
1.83333	8624
2	8679
2.16667	8687
2.33333	8770
2.5	8759
2.66667	8770
2.83333	8797
3	8804
3.16667	8833
3.33333	8851
3.5	8863
3.66667	8922
3.83333	8958
4	8964
4.16667	8969
4.33333	9034
4.5	9009
4.66667	9059
4.83333	9083
5	9113
5.16667	9089
5.33333	9093
5.5	9080
5.66667	9141
5.83333	9116
6	9108
6.16667	9092
6.33333	9178
6.5	9129
6.66667	9150
6.83333	9156
7	9161
7.16667	9182
7.33333	9211
7.5	9222
7.66667	9197
7.83333	9229
8	9238
8.16667	9233
8.33333	9254
8.5	9252
8.66667	9258
8.83333	9253
9	9246
9.16667	9249
9.33333	9250
9.5	9272
9.66667	9254
9.83333	9257
10	9309
10.16667	9313
10.33333	9306
10.5	9279
10.66667	9246
10.83333	9310
11	9313
11.16667	9312
11.33333	9296
11.5	9326
11.66667	9350
11.83333	9323
12	9320
12.16667	9330
12.33333	9352
12.5	9319
12.66667	9330
12.83333	9345
13	9375
13.16667	9381
13.33333	9383
13.5	9325
13.66667	9379
13.83333	9400
14	9342
14.16667	9362
14.33333	9370
14.5	9419
14.66667	9402
14.83333	9365
15	9406
15.16667	9356
15.33333	9410
15.5	9415
15.66667	9396
15.83333	9372
16	9425
16.16667	9453
16.33333	9401
16.5	9405
16.66667	9392
16.83333	9396
17	9434
17.16667	9397
17.33333	9443
17.5	9397
17.66667	9437
17.83333	9442
18	9435
18.16667	9458
18.33333	9434
18.5	9456
18.66667	9417
18.83333	9432
19	9477
19.16667	9474
19.33333	9509
19.5	9466
19.66667	9526
19.83333	9449
20	9411
20.16667	9498
20.33333	9475
20.5	9466
20.66667	9479
20.83333	9507
21	9464
21.16667	9532
21.33333	9420
21.5	9456
21.66667	9466
21.83333	9457
22	9476
22.16667	9494
22.33333	9484
22.5	9483
22.66667	9518
22.83333	9540
23	9553
23.16667	9502
23.33333	9508
23.5	9501
23.66667	9525
23.83333	9515
24	9541
