Time	0.1 PrLDf...92
0	3057
0.16667	2866
0.33333	2804
0.5	2925
0.66667	2934
0.83333	2879
1	2888
1.16667	2886
1.33333	2876
1.5	2867
1.66667	2876
1.83333	2880
2	2894
2.16667	2885
2.33333	2901
2.5	2897
2.66667	2891
2.83333	2887
3	2888
3.16667	2902
3.33333	2901
3.5	2885
3.66667	2903
3.83333	2888
4	2912
4.16667	2904
4.33333	2902
4.5	2900
4.66667	2904
4.83333	2902
5	2888
5.16667	2889
5.33333	2895
5.5	2894
5.66667	2896
5.83333	2909
6	2892
6.16667	2930
6.33333	2946
6.5	2913
6.66667	2916
6.83333	2901
7	2920
7.16667	2931
7.33333	2911
7.5	2924
7.66667	2920
7.83333	2915
8	2896
8.16667	2928
8.33333	2922
8.5	2921
8.66667	2927
8.83333	2921
9	2918
9.16667	2926
9.33333	2902
9.5	2895
9.66667	2928
9.83333	2913
10	2932
10.16667	2920
10.33333	2915
10.5	2905
10.66667	2907
10.83333	2908
11	2938
11.16667	2917
11.33333	2913
11.5	2924
11.66667	2919
11.83333	2926
12	2933
12.16667	2931
12.33333	2941
12.5	2938
12.66667	2935
12.83333	2944
13	2926
13.16667	2929
13.33333	2940
13.5	2927
13.66667	2925
13.83333	2931
14	2927
14.16667	2926
14.33333	2938
14.5	2960
14.66667	2937
14.83333	2953
15	2921
15.16667	2949
15.33333	2935
15.5	2943
15.66667	2944
15.83333	2932
16	2944
16.16667	2937
16.33333	2946
16.5	2951
16.66667	2936
16.83333	2942
17	2949
17.16667	2947
17.33333	2939
17.5	2936
17.66667	2918
17.83333	2937
18	2962
18.16667	2960
18.33333	2944
18.5	2948
18.66667	2953
18.83333	2941
19	2975
19.16667	2958
19.33333	2973
19.5	2957
19.66667	2942
19.83333	2958
20	2947
20.16667	2954
20.33333	2953
20.5	2947
20.66667	2971
20.83333	2956
21	2970
21.16667	2963
21.33333	2954
21.5	2955
21.66667	2975
21.83333	2950
22	2958
22.16667	2949
22.33333	2962
22.5	2966
22.66667	2974
22.83333	2966
23	2978
23.16667	2960
23.33333	2969
23.5	2997
23.66667	2973
23.83333	2992
24	2994
