Time	1 PrLDf: 5 PrLDm...34
0	4440
0.16667	4949
0.33333	6411
0.5	7609
0.66667	8285
0.83333	8644
1	8824
1.16667	8975
1.33333	9042
1.5	9070
1.66667	9077
1.83333	9126
2	9158
2.16667	9147
2.33333	9188
2.5	9242
2.66667	9294
2.83333	9337
3	9383
3.16667	9398
3.33333	9471
3.5	9417
3.66667	9486
3.83333	9467
4	9536
4.16667	9556
4.33333	9563
4.5	9538
4.66667	9579
4.83333	9615
5	9597
5.16667	9598
5.33333	9591
5.5	9592
5.66667	9567
5.83333	9621
6	9600
6.16667	9600
6.33333	9646
6.5	9649
6.66667	9650
6.83333	9673
7	9668
7.16667	9706
7.33333	9700
7.5	9747
7.66667	9672
7.83333	9720
8	9757
8.16667	9737
8.33333	9784
8.5	9770
8.66667	9733
8.83333	9819
9	9763
9.16667	9744
9.33333	9806
9.5	9758
9.66667	9778
9.83333	9818
10	9839
10.16667	9779
10.33333	9795
10.5	9838
10.66667	9790
10.83333	9780
11	9787
11.16667	9793
11.33333	9785
11.5	9820
11.66667	9829
11.83333	9825
12	9850
12.16667	9852
12.33333	9868
12.5	9832
12.66667	9835
12.83333	9840
13	9901
13.16667	9865
13.33333	9862
13.5	9874
13.66667	9880
13.83333	9883
14	9857
14.16667	9829
14.33333	9905
14.5	9910
14.66667	9878
14.83333	9920
15	9902
15.16667	9912
15.33333	9869
15.5	9890
15.66667	9866
15.83333	9885
16	9893
16.16667	9888
16.33333	9900
16.5	9912
16.66667	9884
16.83333	9921
17	9926
17.16667	9913
17.33333	9888
17.5	9893
17.66667	9896
17.83333	9921
18	9936
18.16667	9918
18.33333	9949
18.5	9982
18.66667	9928
18.83333	9946
19	9970
19.16667	9867
19.33333	9935
19.5	9878
19.66667	9885
19.83333	9927
20	9856
20.16667	9890
20.33333	9882
20.5	9879
20.66667	9853
20.83333	9864
21	9831
21.16667	9883
21.33333	9856
21.5	9843
21.66667	9853
21.83333	9906
22	9889
22.16667	9858
22.33333	9852
22.5	9896
22.66667	9878
22.83333	9869
23	9838
23.16667	9871
23.33333	9860
23.5	9870
23.66667	9838
23.83333	9880
24	9830
