Time	4 PrLDf...105
0	5293
0.16667	4974
0.33333	5131
0.5	5200
0.66667	5240
0.83333	5286
1	5337
1.16667	5334
1.33333	5381
1.5	5370
1.66667	5405
1.83333	5409
2	5392
2.16667	5427
2.33333	5438
2.5	5417
2.66667	5420
2.83333	5433
3	5442
3.16667	5425
3.33333	5440
3.5	5448
3.66667	5457
3.83333	5468
4	5454
4.16667	5465
4.33333	5445
4.5	5478
4.66667	5463
4.83333	5471
5	5464
5.16667	5457
5.33333	5462
5.5	5489
5.66667	5466
5.83333	5475
6	5460
6.16667	5436
6.33333	5443
6.5	5441
6.66667	5429
6.83333	5451
7	5444
7.16667	5469
7.33333	5462
7.5	5444
7.66667	5434
7.83333	5488
8	5486
8.16667	5483
8.33333	5501
8.5	5517
8.66667	5507
8.83333	5497
9	5506
9.16667	5500
9.33333	5520
9.5	5494
9.66667	5498
9.83333	5525
10	5522
10.16667	5539
10.33333	5514
10.5	5549
10.66667	5545
10.83333	5531
11	5558
11.16667	5569
11.33333	5573
11.5	5558
11.66667	5586
11.83333	5567
12	5555
12.16667	5584
12.33333	5561
12.5	5553
12.66667	5562
12.83333	5548
13	5567
13.16667	5563
13.33333	5555
13.5	5568
13.66667	5587
13.83333	5562
14	5574
14.16667	5579
14.33333	5560
14.5	5562
14.66667	5567
14.83333	5563
15	5579
15.16667	5592
15.33333	5575
15.5	5588
15.66667	5591
15.83333	5592
16	5620
16.16667	5642
16.33333	5661
16.5	5672
16.66667	5671
16.83333	5683
17	5753
17.16667	5719
17.33333	5733
17.5	5795
17.66667	5811
17.83333	5848
18	5888
18.16667	5899
18.33333	5932
18.5	5917
18.66667	5961
18.83333	5982
19	5983
19.16667	5995
19.33333	6018
19.5	6008
19.66667	6040
19.83333	6028
20	6016
20.16667	6059
20.33333	6050
20.5	6041
20.66667	6057
20.83333	6074
21	6073
21.16667	6043
21.33333	6072
21.5	6068
21.66667	6103
21.83333	6101
22	6090
22.16667	6081
22.33333	6073
22.5	6088
22.66667	6079
22.83333	6078
23	6076
23.16667	6102
23.33333	6101
23.5	6066
23.66667	6094
23.83333	6053
24	6080
