Time	0.1 PrLDf: 20 PrLDm...11
0	3059
0.16667	2880
0.33333	2918
0.5	3031
0.66667	3082
0.83333	3180
1	3190
1.16667	3256
1.33333	3301
1.5	3330
1.66667	3365
1.83333	3423
2	3482
2.16667	3510
2.33333	3538
2.5	3570
2.66667	3626
2.83333	3672
3	3721
3.16667	3767
3.33333	3780
3.5	3838
3.66667	3863
3.83333	3900
4	3923
4.16667	3962
4.33333	4015
4.5	4035
4.66667	4082
4.83333	4121
5	4161
5.16667	4200
5.33333	4239
5.5	4276
5.66667	4308
5.83333	4332
6	4406
6.16667	4439
6.33333	4458
6.5	4489
6.66667	4525
6.83333	4580
7	4611
7.16667	4648
7.33333	4718
7.5	4734
7.66667	4780
7.83333	4815
8	4858
8.16667	4878
8.33333	4933
8.5	4982
8.66667	4998
8.83333	5042
9	5074
9.16667	5113
9.33333	5145
9.5	5213
9.66667	5216
9.83333	5255
10	5272
10.16667	5308
10.33333	5360
10.5	5405
10.66667	5430
10.83333	5456
11	5510
11.16667	5527
11.33333	5534
11.5	5610
11.66667	5639
11.83333	5669
12	5733
12.16667	5754
12.33333	5771
12.5	5818
12.66667	5851
12.83333	5927
13	5970
13.16667	6037
13.33333	6066
13.5	6126
13.66667	6226
13.83333	6271
14	6371
14.16667	6463
14.33333	6594
14.5	6681
14.66667	6826
14.83333	6933
15	7147
15.16667	7312
15.33333	7506
15.5	7719
15.66667	7931
15.83333	8237
16	8492
16.16667	8776
16.33333	9117
16.5	9445
16.66667	9784
16.83333	10271
17	10705
17.16667	11097
17.33333	11654
17.5	12220
17.66667	12668
17.83333	13313
18	14009
18.16667	14731
18.33333	15336
18.5	15920
18.66667	16783
18.83333	17485
19	17787
19.16667	18418
19.33333	18938
19.5	19258
19.66667	19647
19.83333	20096
20	20527
20.16667	20655
20.33333	21176
20.5	21463
20.66667	21522
20.83333	22000
21	22138
21.16667	22391
21.33333	22630
21.5	22815
21.66667	22978
21.83333	23287
22	23275
22.16667	23527
22.33333	23660
22.5	23818
22.66667	24002
22.83333	24156
23	24131
23.16667	24272
23.33333	24598
23.5	24704
23.66667	24743
23.83333	24693
24	25031
