Time	1 PrLDf...98
0	3381
0.16667	3171
0.33333	3449
0.5	3517
0.66667	3575
0.83333	3479
1	3405
1.16667	3310
1.33333	3240
1.5	3203
1.66667	3191
1.83333	3198
2	3180
2.16667	3171
2.33333	3179
2.5	3165
2.66667	3172
2.83333	3173
3	3143
3.16667	3169
3.33333	3139
3.5	3150
3.66667	3144
3.83333	3155
4	3161
4.16667	3150
4.33333	3144
4.5	3147
4.66667	3142
4.83333	3136
5	3123
5.16667	3130
5.33333	3136
5.5	3118
5.66667	3098
5.83333	3114
6	3124
6.16667	3111
6.33333	3108
6.5	3096
6.66667	3093
6.83333	3094
7	3073
7.16667	3082
7.33333	3097
7.5	3089
7.66667	3071
7.83333	3060
8	3079
8.16667	3064
8.33333	3072
8.5	3065
8.66667	3073
8.83333	3082
9	3080
9.16667	3066
9.33333	3055
9.5	3057
9.66667	3069
9.83333	3063
10	3048
10.16667	3069
10.33333	3063
10.5	3046
10.66667	3052
10.83333	3043
11	3051
11.16667	3052
11.33333	3039
11.5	3057
11.66667	3051
11.83333	3062
12	3061
12.16667	3039
12.33333	3045
12.5	3048
12.66667	3036
12.83333	3042
13	3058
13.16667	3033
13.33333	3047
13.5	3060
13.66667	3024
13.83333	3042
14	3042
14.16667	3047
14.33333	3050
14.5	3034
14.66667	3051
14.83333	3043
15	3042
15.16667	3029
15.33333	3027
15.5	3032
15.66667	3042
15.83333	3025
16	3033
16.16667	3036
16.33333	3042
16.5	3030
16.66667	3028
16.83333	3026
17	3025
17.16667	3033
17.33333	3001
17.5	3041
17.66667	3018
17.83333	2993
18	3012
18.16667	3003
18.33333	2989
18.5	3003
18.66667	3008
18.83333	3013
19	3010
19.16667	3019
19.33333	3003
19.5	3006
19.66667	2985
19.83333	3011
20	3006
20.16667	2988
20.33333	2989
20.5	2999
20.66667	3001
20.83333	3006
21	3004
21.16667	2992
21.33333	2990
21.5	2992
21.66667	2981
21.83333	2995
22	2995
22.16667	2992
22.33333	2982
22.5	2967
22.66667	2973
22.83333	2995
23	2980
23.16667	2994
23.33333	2996
23.5	2981
23.66667	2999
23.83333	2976
24	2998
