Time	0.1 PrLDf: 10 PrLDm...5
0	3020
0.16667	2840
0.33333	2947
0.5	2970
0.66667	3049
0.83333	3081
1	3127
1.16667	3146
1.33333	3184
1.5	3206
1.66667	3236
1.83333	3278
2	3307
2.16667	3339
2.33333	3377
2.5	3398
2.66667	3426
2.83333	3467
3	3511
3.16667	3536
3.33333	3544
3.5	3580
3.66667	3606
3.83333	3645
4	3672
4.16667	3684
4.33333	3713
4.5	3740
4.66667	3781
4.83333	3783
5	3816
5.16667	3822
5.33333	3858
5.5	3884
5.66667	3901
5.83333	3916
6	3966
6.16667	3977
6.33333	3993
6.5	4022
6.66667	4067
6.83333	4089
7	4103
7.16667	4139
7.33333	4156
7.5	4173
7.66667	4198
7.83333	4198
8	4235
8.16667	4280
8.33333	4284
8.5	4317
8.66667	4335
8.83333	4374
9	4394
9.16667	4428
9.33333	4402
9.5	4455
9.66667	4479
9.83333	4509
10	4529
10.16667	4569
10.33333	4577
10.5	4610
10.66667	4628
10.83333	4658
11	4669
11.16667	4678
11.33333	4746
11.5	4762
11.66667	4780
11.83333	4798
12	4842
12.16667	4867
12.33333	4907
12.5	4926
12.66667	4963
12.83333	5010
13	5055
13.16667	5116
13.33333	5160
13.5	5200
13.66667	5228
13.83333	5296
14	5368
14.16667	5424
14.33333	5491
14.5	5583
14.66667	5644
14.83333	5744
15	5806
15.16667	5944
15.33333	6071
15.5	6196
15.66667	6334
15.83333	6521
16	6684
16.16667	6892
16.33333	7073
16.5	7291
16.66667	7504
16.83333	7780
17	8045
17.16667	8337
17.33333	8713
17.5	9049
17.66667	9460
17.83333	9966
18	10426
18.16667	10940
18.33333	11474
18.5	12088
18.66667	12768
18.83333	13416
19	14289
19.16667	15026
19.33333	15919
19.5	16811
19.66667	17602
19.83333	18713
20	19753
20.16667	20551
20.33333	21321
20.5	22597
20.66667	23107
20.83333	24223
21	25183
21.16667	25557
21.33333	26366
21.5	27044
21.66667	27383
21.83333	27976
22	27957
22.16667	28653
22.33333	29485
22.5	28975
22.66667	29108
22.83333	29386
23	29882
23.16667	29803
23.33333	29777
23.5	29466
23.66667	29477
23.83333	29382
24	29960
