Time	0.1 PrLDf...93
0	3574
0.16667	3306
0.33333	3261
0.5	3346
0.66667	3334
0.83333	3329
1	3318
1.16667	3289
1.33333	3412
1.5	3353
1.66667	3385
1.83333	3356
2	3355
2.16667	3354
2.33333	3328
2.5	3324
2.66667	3333
2.83333	3299
3	3322
3.16667	3299
3.33333	3300
3.5	3286
3.66667	3290
3.83333	3296
4	3300
4.16667	3273
4.33333	3285
4.5	3296
4.66667	3276
4.83333	3281
5	3290
5.16667	3278
5.33333	3259
5.5	3258
5.66667	3270
5.83333	3260
6	3257
6.16667	3243
6.33333	3242
6.5	3237
6.66667	3242
6.83333	3248
7	3279
7.16667	3273
7.33333	3268
7.5	3266
7.66667	3277
7.83333	3277
8	3287
8.16667	3289
8.33333	3291
8.5	3289
8.66667	3282
8.83333	3287
9	3291
9.16667	3294
9.33333	3284
9.5	3284
9.66667	3307
9.83333	3304
10	3292
10.16667	3295
10.33333	3299
10.5	3327
10.66667	3313
10.83333	3324
11	3345
11.16667	3343
11.33333	3372
11.5	3383
11.66667	3390
11.83333	3398
12	3421
12.16667	3449
12.33333	3468
12.5	3494
12.66667	3518
12.83333	3573
13	3599
13.16667	3617
13.33333	3618
13.5	3634
13.66667	3649
13.83333	3652
14	3681
14.16667	3690
14.33333	3696
14.5	3693
14.66667	3701
14.83333	3735
15	3721
15.16667	3746
15.33333	3723
15.5	3713
15.66667	3729
15.83333	3733
16	3752
16.16667	3751
16.33333	3742
16.5	3757
16.66667	3763
16.83333	3758
17	3743
17.16667	3755
17.33333	3782
17.5	3761
17.66667	3740
17.83333	3760
18	3775
18.16667	3767
18.33333	3773
18.5	3768
18.66667	3772
18.83333	3765
19	3766
19.16667	3778
19.33333	3779
19.5	3782
19.66667	3761
19.83333	3767
20	3789
20.16667	3772
20.33333	3786
20.5	3786
20.66667	3777
20.83333	3785
21	3805
21.16667	3812
21.33333	3800
21.5	3793
21.66667	3800
21.83333	3803
22	3795
22.16667	3796
22.33333	3799
22.5	3815
22.66667	3793
22.83333	3800
23	3790
23.16667	3798
23.33333	3797
23.5	3781
23.66667	3786
23.83333	3792
24	3772
