Time	0.1 PrLDf: 10 PrLDm...7
0	3133
0.16667	3043
0.33333	3234
0.5	3470
0.66667	3706
0.83333	3884
1	4052
1.16667	4208
1.33333	4344
1.5	4500
1.66667	4661
1.83333	4800
2	4918
2.16667	5070
2.33333	5189
2.5	5288
2.66667	5410
2.83333	5549
3	5622
3.16667	5753
3.33333	5873
3.5	5964
3.66667	6049
3.83333	6137
4	6256
4.16667	6332
4.33333	6434
4.5	6507
4.66667	6593
4.83333	6705
5	6738
5.16667	6837
5.33333	6881
5.5	6968
5.66667	7044
5.83333	7122
6	7228
6.16667	7282
6.33333	7355
6.5	7437
6.66667	7522
6.83333	7630
7	7685
7.16667	7770
7.33333	7857
7.5	7942
7.66667	7994
7.83333	8073
8	8213
8.16667	8261
8.33333	8358
8.5	8411
8.66667	8510
8.83333	8605
9	8690
9.16667	8788
9.33333	8857
9.5	8927
9.66667	9041
9.83333	9103
10	9207
10.16667	9273
10.33333	9356
10.5	9471
10.66667	9538
10.83333	9645
11	9744
11.16667	9846
11.33333	9952
11.5	10030
11.66667	10155
11.83333	10242
12	10425
12.16667	10515
12.33333	10646
12.5	10795
12.66667	10943
12.83333	11113
13	11335
13.16667	11550
13.33333	11806
13.5	12168
13.66667	12586
13.83333	12998
14	13425
14.16667	13720
14.33333	14304
14.5	14839
14.66667	15327
14.83333	15703
15	16454
15.16667	16926
15.33333	17500
15.5	17804
15.66667	18622
15.83333	19104
16	19395
16.16667	20501
16.33333	21072
16.5	21001
16.66667	21718
16.83333	22228
17	22245
17.16667	23176
17.33333	23085
17.5	23699
17.66667	23504
17.83333	24253
18	23853
18.16667	23889
18.33333	24020
18.5	24438
18.66667	24089
18.83333	24479
19	24549
19.16667	24709
19.33333	24121
19.5	24922
19.66667	25290
19.83333	24832
20	25438
20.16667	25296
20.33333	25430
20.5	25556
20.66667	25476
20.83333	25678
21	25291
21.16667	25366
21.33333	25637
21.5	25412
21.66667	25659
21.83333	25338
22	25676
22.16667	25316
22.33333	25918
22.5	25495
22.66667	26316
22.83333	25988
23	25929
23.16667	25857
23.33333	25823
23.5	25825
23.66667	25805
23.83333	25776
24	26189
