Time	2 PrLDf: 10 PrLDm...50
0	4449
0.16667	4754
0.33333	5666
0.5	7010
0.66667	7802
0.83333	8660
1	9414
1.16667	10079
1.33333	10655
1.5	11144
1.66667	11562
1.83333	11933
2	12256
2.16667	12512
2.33333	12711
2.5	12926
2.66667	13106
2.83333	13249
3	13379
3.16667	13506
3.33333	13573
3.5	13672
3.66667	13737
3.83333	13758
4	13864
4.16667	13910
4.33333	13918
4.5	14024
4.66667	14007
4.83333	14044
5	14057
5.16667	14130
5.33333	14117
5.5	14141
5.66667	14121
5.83333	14118
6	14151
6.16667	14171
6.33333	14153
6.5	14193
6.66667	14171
6.83333	14177
7	14294
7.16667	14295
7.33333	14333
7.5	14321
7.66667	14275
7.83333	14289
8	14393
8.16667	14397
8.33333	14487
8.5	14474
8.66667	14464
8.83333	14456
9	14502
9.16667	14419
9.33333	14434
9.5	14426
9.66667	14335
9.83333	14300
10	14298
10.16667	14442
10.33333	14378
10.5	14439
10.66667	14344
10.83333	14418
11	14405
11.16667	14481
11.33333	14532
11.5	14503
11.66667	14486
11.83333	14425
12	14522
12.16667	14500
12.33333	14539
12.5	14593
12.66667	14598
12.83333	14610
13	14646
13.16667	14648
13.33333	14625
13.5	14658
13.66667	14678
13.83333	14663
14	14695
14.16667	14654
14.33333	14735
14.5	14614
14.66667	14662
14.83333	14693
15	14626
15.16667	14711
15.33333	14697
15.5	14593
15.66667	14707
15.83333	14665
16	14700
16.16667	14724
16.33333	14747
16.5	14699
16.66667	14644
16.83333	14658
17	14683
17.16667	14774
17.33333	14647
17.5	14697
17.66667	14676
17.83333	14646
18	14665
18.16667	14714
18.33333	14705
18.5	14783
18.66667	14744
18.83333	14702
19	14738
19.16667	14683
19.33333	14744
19.5	14749
19.66667	14737
19.83333	14761
20	14784
20.16667	14788
20.33333	14734
20.5	14774
20.66667	14808
20.83333	14732
21	14744
21.16667	14743
21.33333	14771
21.5	14696
21.66667	14760
21.83333	14760
22	14763
22.16667	14784
22.33333	14784
22.5	14748
22.66667	14718
22.83333	14788
23	14785
23.16667	14806
23.33333	14781
23.5	14802
23.66667	14777
23.83333	14797
24	14836
