Time	20 PrLDm...86
0	2847
0.16667	2684
0.33333	2629
0.5	2734
0.66667	2720
0.83333	2702
1	2697
1.16667	2691
1.33333	2688
1.5	2664
1.66667	2674
1.83333	2713
2	2706
2.16667	2696
2.33333	2695
2.5	2706
2.66667	2705
2.83333	2698
3	2683
3.16667	2701
3.33333	2692
3.5	2691
3.66667	2691
3.83333	2701
4	2703
4.16667	2708
4.33333	2703
4.5	2681
4.66667	2705
4.83333	2673
5	2690
5.16667	2700
5.33333	2709
5.5	2696
5.66667	2697
5.83333	2734
6	2708
6.16667	2722
6.33333	2717
6.5	2728
6.66667	2718
6.83333	2720
7	2710
7.16667	2708
7.33333	2715
7.5	2698
7.66667	2701
7.83333	2709
8	2695
8.16667	2697
8.33333	2706
8.5	2697
8.66667	2688
8.83333	2693
9	2699
9.16667	2688
9.33333	2691
9.5	2690
9.66667	2696
9.83333	2682
10	2690
10.16667	2696
10.33333	2694
10.5	2679
10.66667	2696
10.83333	2707
11	2702
11.16667	2690
11.33333	2672
11.5	2695
11.66667	2681
11.83333	2679
12	2692
12.16667	2707
12.33333	2700
12.5	2712
12.66667	2716
12.83333	2690
13	2698
13.16667	2711
13.33333	2732
13.5	2721
13.66667	2697
13.83333	2709
14	2726
14.16667	2742
14.33333	2724
14.5	2738
14.66667	2744
14.83333	2742
15	2753
15.16667	2759
15.33333	2772
15.5	2771
15.66667	2787
15.83333	2805
16	2808
16.16667	2822
16.33333	2825
16.5	2833
16.66667	2842
16.83333	2869
17	2876
17.16667	2896
17.33333	2912
17.5	2941
17.66667	2969
17.83333	2990
18	3024
18.16667	3049
18.33333	3100
18.5	3146
18.66667	3189
18.83333	3240
19	3289
19.16667	3341
19.33333	3413
19.5	3486
19.66667	3561
19.83333	3664
20	3756
20.16667	3846
20.33333	3960
20.5	4112
20.66667	4258
20.83333	4414
21	4595
21.16667	4752
21.33333	4994
21.5	5252
21.66667	5525
21.83333	5850
22	6174
22.16667	6492
22.33333	6971
22.5	7419
22.66667	7886
22.83333	8419
23	8965
23.16667	9477
23.33333	10004
23.5	10595
23.66667	11308
23.83333	11920
24	12575
