Time	1 PrLDf: 10 PrLDm...36
0	5411
0.16667	7208
0.33333	10016
0.5	12688
0.66667	13983
0.83333	14732
1	15058
1.16667	15365
1.33333	15426
1.5	15555
1.66667	15640
1.83333	15690
2	15711
2.16667	15826
2.33333	15850
2.5	15920
2.66667	15950
2.83333	15976
3	16038
3.16667	16051
3.33333	16052
3.5	16084
3.66667	16119
3.83333	16186
4	16197
4.16667	16244
4.33333	16137
4.5	16239
4.66667	16215
4.83333	16334
5	16374
5.16667	16282
5.33333	16363
5.5	16365
5.66667	16320
5.83333	16475
6	16425
6.16667	16514
6.33333	16369
6.5	16339
6.66667	16382
6.83333	16399
7	16414
7.16667	16441
7.33333	16495
7.5	16505
7.66667	16635
7.83333	16612
8	16661
8.16667	16628
8.33333	16636
8.5	16660
8.66667	16651
8.83333	16666
9	16638
9.16667	16736
9.33333	16649
9.5	16760
9.66667	16778
9.83333	16784
10	16782
10.16667	16800
10.33333	16903
10.5	16890
10.66667	16961
10.83333	17186
11	17208
11.16667	17328
11.33333	17295
11.5	17384
11.66667	17455
11.83333	17372
12	17391
12.16667	17407
12.33333	17421
12.5	17369
12.66667	17424
12.83333	17454
13	17477
13.16667	17406
13.33333	17490
13.5	17483
13.66667	17427
13.83333	17470
14	17485
14.16667	17543
14.33333	17379
14.5	17501
14.66667	17509
14.83333	17513
15	17528
15.16667	17611
15.33333	17556
15.5	17542
15.66667	17587
15.83333	17577
16	17599
16.16667	17554
16.33333	17555
16.5	17583
16.66667	17606
16.83333	17646
17	17703
17.16667	17605
17.33333	17646
17.5	17630
17.66667	17600
17.83333	17625
18	17645
18.16667	17703
18.33333	17655
18.5	17699
18.66667	17690
18.83333	17604
19	17678
19.16667	17678
19.33333	17675
19.5	17671
19.66667	17717
19.83333	17613
20	17716
20.16667	17783
20.33333	17715
20.5	17749
20.66667	17715
20.83333	17685
21	17715
21.16667	17761
21.33333	17827
21.5	17773
21.66667	17757
21.83333	17733
22	17732
22.16667	17819
22.33333	17765
22.5	17735
22.66667	17759
22.83333	17806
23	17743
23.16667	17764
23.33333	17773
23.5	17762
23.66667	17799
23.83333	17788
24	17833
