Time	5 PrLDm...77
0	2796
0.16667	2650
0.33333	2611
0.5	2690
0.66667	2704
0.83333	2693
1	2681
1.16667	2684
1.33333	2690
1.5	2686
1.66667	2682
1.83333	2709
2	2690
2.16667	2711
2.33333	2722
2.5	2703
2.66667	2724
2.83333	2708
3	2693
3.16667	2702
3.33333	2704
3.5	2697
3.66667	2710
3.83333	2701
4	2707
4.16667	2696
4.33333	2725
4.5	2710
4.66667	2702
4.83333	2708
5	2712
5.16667	2702
5.33333	2707
5.5	2704
5.66667	2718
5.83333	2697
6	2696
6.16667	2692
6.33333	2689
6.5	2696
6.66667	2693
6.83333	2690
7	2702
7.16667	2679
7.33333	2673
7.5	2692
7.66667	2679
7.83333	2691
8	2665
8.16667	2677
8.33333	2694
8.5	2677
8.66667	2675
8.83333	2679
9	2689
9.16667	2670
9.33333	2687
9.5	2686
9.66667	2682
9.83333	2669
10	2677
10.16667	2680
10.33333	2689
10.5	2672
10.66667	2680
10.83333	2680
11	2670
11.16667	2664
11.33333	2673
11.5	2663
11.66667	2688
11.83333	2688
12	2698
12.16667	2678
12.33333	2702
12.5	2682
12.66667	2679
12.83333	2691
13	2688
13.16667	2696
13.33333	2691
13.5	2683
13.66667	2676
13.83333	2694
14	2692
14.16667	2687
14.33333	2684
14.5	2679
14.66667	2690
14.83333	2682
15	2682
15.16667	2678
15.33333	2684
15.5	2668
15.66667	2668
15.83333	2682
16	2693
16.16667	2686
16.33333	2687
16.5	2692
16.66667	2666
16.83333	2681
17	2674
17.16667	2677
17.33333	2689
17.5	2679
17.66667	2670
17.83333	2660
18	2664
18.16667	2677
18.33333	2680
18.5	2664
18.66667	2650
18.83333	2671
19	2684
19.16667	2668
19.33333	2668
19.5	2671
19.66667	2662
19.83333	2669
20	2665
20.16667	2658
20.33333	2673
20.5	2665
20.66667	2677
20.83333	2666
21	2658
21.16667	2649
21.33333	2674
21.5	2657
21.66667	2664
21.83333	2657
22	2670
22.16667	2673
22.33333	2668
22.5	2669
22.66667	2660
22.83333	2655
23	2661
23.16667	2664
23.33333	2664
23.5	2651
23.66667	2666
23.83333	2672
24	2671
