Time	2 PrLDf: 5 PrLDm...48
0	7269
0.16667	9445
0.33333	10871
0.5	11323
0.66667	11536
0.83333	11735
1	11762
1.16667	11867
1.33333	11898
1.5	11916
1.66667	11985
1.83333	12081
2	12193
2.16667	12278
2.33333	12349
2.5	12348
2.66667	12402
2.83333	12407
3	12430
3.16667	12516
3.33333	12463
3.5	12463
3.66667	12564
3.83333	12586
4	12548
4.16667	12601
4.33333	12644
4.5	12608
4.66667	12666
4.83333	12633
5	12710
5.16667	12687
5.33333	12632
5.5	12721
5.66667	12741
5.83333	12630
6	12735
6.16667	12753
6.33333	12713
6.5	12688
6.66667	12758
6.83333	12754
7	12746
7.16667	12751
7.33333	12754
7.5	12789
7.66667	12905
7.83333	12790
8	12950
8.16667	12773
8.33333	12903
8.5	12882
8.66667	12890
8.83333	12913
9	12875
9.16667	12910
9.33333	12929
9.5	12932
9.66667	12962
9.83333	12970
10	12982
10.16667	13034
10.33333	13010
10.5	12917
10.66667	13040
10.83333	13009
11	13005
11.16667	13052
11.33333	12958
11.5	13046
11.66667	12956
11.83333	13098
12	12986
12.16667	13042
12.33333	12945
12.5	13129
12.66667	13060
12.83333	13006
13	12971
13.16667	13012
13.33333	13104
13.5	13079
13.66667	13076
13.83333	13097
14	13043
14.16667	13024
14.33333	13079
14.5	13042
14.66667	13099
14.83333	13095
15	13085
15.16667	13100
15.33333	13075
15.5	13091
15.66667	13094
15.83333	13149
16	13035
16.16667	13075
16.33333	13164
16.5	13116
16.66667	13180
16.83333	13127
17	13134
17.16667	13045
17.33333	13082
17.5	13133
17.66667	13057
17.83333	13064
18	13120
18.16667	13098
18.33333	13210
18.5	13126
18.66667	13003
18.83333	13131
19	13096
19.16667	13192
19.33333	13115
19.5	13172
19.66667	13231
19.83333	13182
20	13186
20.16667	13184
20.33333	13177
20.5	13115
20.66667	13178
20.83333	13173
21	13165
21.16667	13222
21.33333	13096
21.5	13275
21.66667	13243
21.83333	13270
22	13181
22.16667	13116
22.33333	13195
22.5	13112
22.66667	13181
22.83333	13270
23	13184
23.16667	13123
23.33333	13187
23.5	13116
23.66667	13192
23.83333	13095
24	13157
