Time	20 PrLDm...88
0	2992
0.16667	2696
0.33333	2667
0.5	2805
0.66667	2778
0.83333	2760
1	2750
1.16667	2769
1.33333	2767
1.5	2741
1.66667	2746
1.83333	2741
2	2732
2.16667	2744
2.33333	2742
2.5	2724
2.66667	2727
2.83333	2725
3	2728
3.16667	2712
3.33333	2714
3.5	2716
3.66667	2707
3.83333	2707
4	2703
4.16667	2723
4.33333	2712
4.5	2729
4.66667	2716
4.83333	2734
5	2717
5.16667	2702
5.33333	2704
5.5	2702
5.66667	2701
5.83333	2698
6	2698
6.16667	2694
6.33333	2692
6.5	2714
6.66667	2710
6.83333	2691
7	2693
7.16667	2733
7.33333	2723
7.5	2725
7.66667	2732
7.83333	2725
8	2736
8.16667	2738
8.33333	2722
8.5	2727
8.66667	2734
8.83333	2725
9	2727
9.16667	2724
9.33333	2726
9.5	2731
9.66667	2727
9.83333	2747
10	2720
10.16667	2716
10.33333	2721
10.5	2727
10.66667	2720
10.83333	2720
11	2739
11.16667	2721
11.33333	2733
11.5	2730
11.66667	2748
11.83333	2746
12	2744
12.16667	2759
12.33333	2758
12.5	2772
12.66667	2791
12.83333	2789
13	2801
13.16667	2832
13.33333	2828
13.5	2851
13.66667	2870
13.83333	2890
14	2904
14.16667	2931
14.33333	2971
14.5	3012
14.66667	3026
14.83333	3107
15	3172
15.16667	3240
15.33333	3365
15.5	3475
15.66667	3628
15.83333	3778
16	3966
16.16667	4189
16.33333	4380
16.5	4650
16.66667	4924
16.83333	5217
17	5556
17.16667	5921
17.33333	6315
17.5	6762
17.66667	7295
17.83333	7796
18	8486
18.16667	9211
18.33333	10004
18.5	10880
18.66667	11789
18.83333	12813
19	13985
19.16667	15284
19.33333	16585
19.5	18231
19.66667	19771
19.83333	21634
20	23736
20.16667	25913
20.33333	28466
20.5	30644
20.66667	33271
20.83333	36010
21	38438
21.16667	41332
21.33333	44174
21.5	46774
21.66667	48902
21.83333	50378
22	52280
22.16667	54857
22.33333	56767
22.5	58568
22.66667	62005
22.83333	65169
23	67183
23.16667	69072
23.33333	71717
23.5	73554
23.66667	72413
23.83333	71339
24	72853
