Time	15 PrLDm...85
0	2956
0.16667	2677
0.33333	2620
0.5	2619
0.66667	2714
0.83333	2707
1	2711
1.16667	2845
1.33333	2835
1.5	2807
1.66667	2787
1.83333	2777
2	2778
2.16667	2770
2.33333	2753
2.5	2751
2.66667	2747
2.83333	2743
3	2741
3.16667	2742
3.33333	2730
3.5	2708
3.66667	2731
3.83333	2733
4	2706
4.16667	2713
4.33333	2711
4.5	2715
4.66667	2709
4.83333	2731
5	2712
5.16667	2703
5.33333	2693
5.5	2714
5.66667	2706
5.83333	2697
6	2684
6.16667	2693
6.33333	2699
6.5	2687
6.66667	2687
6.83333	2676
7	2689
7.16667	2709
7.33333	2689
7.5	2706
7.66667	2677
7.83333	2681
8	2688
8.16667	2705
8.33333	2690
8.5	2699
8.66667	2694
8.83333	2688
9	2690
9.16667	2692
9.33333	2681
9.5	2685
9.66667	2688
9.83333	2682
10	2689
10.16667	2692
10.33333	2676
10.5	2664
10.66667	2671
10.83333	2657
11	2671
11.16667	2676
11.33333	2673
11.5	2675
11.66667	2666
11.83333	2680
12	2669
12.16667	2670
12.33333	2675
12.5	2677
12.66667	2667
12.83333	2661
13	2659
13.16667	2668
13.33333	2675
13.5	2670
13.66667	2677
13.83333	2675
14	2675
14.16667	2686
14.33333	2672
14.5	2697
14.66667	2686
14.83333	2677
15	2700
15.16667	2690
15.33333	2697
15.5	2678
15.66667	2699
15.83333	2698
16	2697
16.16667	2685
16.33333	2699
16.5	2722
16.66667	2718
16.83333	2720
17	2742
17.16667	2749
17.33333	2752
17.5	2761
17.66667	2761
17.83333	2773
18	2794
18.16667	2775
18.33333	2799
18.5	2816
18.66667	2817
18.83333	2836
19	2851
19.16667	2864
19.33333	2863
19.5	2884
19.66667	2913
19.83333	2950
20	2968
20.16667	2976
20.33333	3021
20.5	3042
20.66667	3078
20.83333	3123
21	3194
21.16667	3253
21.33333	3328
21.5	3403
21.66667	3489
21.83333	3600
22	3729
22.16667	3866
22.33333	4005
22.5	4190
22.66667	4403
22.83333	4616
23	4856
23.16667	5144
23.33333	5398
23.5	5874
23.66667	6133
23.83333	6543
24	6998
