Time	2 PrLDf: 10 PrLDm...52
0	6012
0.16667	8058
0.33333	11673
0.5	14771
0.66667	15971
0.83333	16464
1	16712
1.16667	16843
1.33333	16937
1.5	17063
1.66667	17077
1.83333	17124
2	17141
2.16667	17167
2.33333	17146
2.5	17190
2.66667	17151
2.83333	17201
3	17378
3.16667	17393
3.33333	17302
3.5	17456
3.66667	17319
3.83333	17340
4	17417
4.16667	17530
4.33333	17572
4.5	17438
4.66667	17467
4.83333	17486
5	17368
5.16667	17585
5.33333	17566
5.5	17588
5.66667	17587
5.83333	17495
6	17468
6.16667	17731
6.33333	17742
6.5	17629
6.66667	17566
6.83333	17600
7	17712
7.16667	17779
7.33333	17737
7.5	17841
7.66667	17963
7.83333	17700
8	17826
8.16667	17830
8.33333	17717
8.5	17720
8.66667	18046
8.83333	17920
9	17824
9.16667	17953
9.33333	17797
9.5	17690
9.66667	17755
9.83333	17781
10	17991
10.16667	17894
10.33333	17835
10.5	17775
10.66667	17782
10.83333	17792
11	17850
11.16667	17885
11.33333	17846
11.5	17821
11.66667	17841
11.83333	17888
12	17922
12.16667	17904
12.33333	17912
12.5	17866
12.66667	18003
12.83333	17989
13	17904
13.16667	17987
13.33333	17922
13.5	17940
13.66667	18118
13.83333	18014
14	18032
14.16667	17924
14.33333	17996
14.5	17890
14.66667	18019
14.83333	17986
15	18063
15.16667	18026
15.33333	18028
15.5	18074
15.66667	18003
15.83333	18035
16	18096
16.16667	18020
16.33333	18093
16.5	18008
16.66667	17975
16.83333	18053
17	18064
17.16667	18098
17.33333	18051
17.5	18117
17.66667	18018
17.83333	18081
18	18046
18.16667	18036
18.33333	18097
18.5	18095
18.66667	18077
18.83333	18129
19	18139
19.16667	18131
19.33333	18049
19.5	18148
19.66667	18101
19.83333	18087
20	18132
20.16667	18141
20.33333	18094
20.5	18107
20.66667	18095
20.83333	18102
21	18243
21.16667	18197
21.33333	18156
21.5	18134
21.66667	18099
21.83333	18160
22	18163
22.16667	18110
22.33333	18133
22.5	18154
22.66667	18111
22.83333	18234
23	18194
23.16667	18211
23.33333	18204
23.5	18137
23.66667	18211
23.83333	18275
24	18171
