Time	5 PrLDm...78
0	3365
0.16667	3007
0.33333	3026
0.5	3005
0.66667	3033
0.83333	3024
1	3006
1.16667	3018
1.33333	3015
1.5	3022
1.66667	3039
1.83333	3045
2	3015
2.16667	3025
2.33333	3000
2.5	3004
2.66667	2986
2.83333	3006
3	3007
3.16667	2994
3.33333	3001
3.5	3003
3.66667	3009
3.83333	2989
4	2975
4.16667	3013
4.33333	3023
4.5	3001
4.66667	2992
4.83333	3003
5	3006
5.16667	2994
5.33333	2984
5.5	2991
5.66667	2994
5.83333	2987
6	2999
6.16667	2964
6.33333	2961
6.5	2957
6.66667	2953
6.83333	2947
7	2968
7.16667	2957
7.33333	2966
7.5	2966
7.66667	2971
7.83333	2971
8	2983
8.16667	2970
8.33333	2969
8.5	2959
8.66667	2979
8.83333	2991
9	2972
9.16667	2978
9.33333	2988
9.5	2978
9.66667	2984
9.83333	2985
10	2978
10.16667	2977
10.33333	2999
10.5	3007
10.66667	2999
10.83333	3001
11	3013
11.16667	3014
11.33333	3034
11.5	3034
11.66667	3043
11.83333	3057
12	3066
12.16667	3072
12.33333	3099
12.5	3102
12.66667	3112
12.83333	3149
13	3165
13.16667	3171
13.33333	3190
13.5	3221
13.66667	3205
13.83333	3241
14	3263
14.16667	3271
14.33333	3272
14.5	3265
14.66667	3308
14.83333	3306
15	3316
15.16667	3302
15.33333	3343
15.5	3322
15.66667	3334
15.83333	3338
16	3351
16.16667	3355
16.33333	3359
16.5	3340
16.66667	3356
16.83333	3360
17	3364
17.16667	3349
17.33333	3362
17.5	3395
17.66667	3382
17.83333	3385
18	3390
18.16667	3385
18.33333	3386
18.5	3385
18.66667	3381
18.83333	3385
19	3394
19.16667	3378
19.33333	3406
19.5	3393
19.66667	3405
19.83333	3399
20	3410
20.16667	3413
20.33333	3407
20.5	3417
20.66667	3406
20.83333	3413
21	3424
21.16667	3430
21.33333	3422
21.5	3433
21.66667	3450
21.83333	3433
22	3444
22.16667	3438
22.33333	3429
22.5	3446
22.66667	3444
22.83333	3456
23	3423
23.16667	3461
23.33333	3467
23.5	3471
23.66667	3476
23.83333	3485
24	3477
