Time	1 PrLDf...99
0	4127
0.16667	3835
0.33333	3757
0.5	3753
0.66667	3751
0.83333	3679
1	3638
1.16667	3637
1.33333	3648
1.5	3632
1.66667	3609
1.83333	3639
2	3674
2.16667	3637
2.33333	3654
2.5	3634
2.66667	3635
2.83333	3658
3	3649
3.16667	3650
3.33333	3662
3.5	3654
3.66667	3635
3.83333	3652
4	3653
4.16667	3627
4.33333	3643
4.5	3652
4.66667	3628
4.83333	3608
5	3635
5.16667	3618
5.33333	3632
5.5	3618
5.66667	3610
5.83333	3623
6	3629
6.16667	3595
6.33333	3609
6.5	3580
6.66667	3564
6.83333	3591
7	3594
7.16667	3584
7.33333	3592
7.5	3596
7.66667	3623
7.83333	3578
8	3579
8.16667	3595
8.33333	3600
8.5	3594
8.66667	3590
8.83333	3588
9	3605
9.16667	3589
9.33333	3593
9.5	3574
9.66667	3582
9.83333	3576
10	3573
10.16667	3589
10.33333	3589
10.5	3582
10.66667	3615
10.83333	3609
11	3602
11.16667	3591
11.33333	3635
11.5	3607
11.66667	3596
11.83333	3596
12	3606
12.16667	3602
12.33333	3618
12.5	3587
12.66667	3606
12.83333	3601
13	3615
13.16667	3615
13.33333	3613
13.5	3606
13.66667	3608
13.83333	3622
14	3621
14.16667	3644
14.33333	3626
14.5	3638
14.66667	3652
14.83333	3641
15	3616
15.16667	3664
15.33333	3649
15.5	3660
15.66667	3673
15.83333	3693
16	3702
16.16667	3719
16.33333	3740
16.5	3734
16.66667	3736
16.83333	3765
17	3762
17.16667	3779
17.33333	3783
17.5	3811
17.66667	3810
17.83333	3830
18	3829
18.16667	3865
18.33333	3863
18.5	3851
18.66667	3852
18.83333	3868
19	3894
19.16667	3883
19.33333	3888
19.5	3915
19.66667	3905
19.83333	3908
20	3939
20.16667	3922
20.33333	3943
20.5	3938
20.66667	3960
20.83333	3956
21	3951
21.16667	3958
21.33333	3968
21.5	3984
21.66667	3959
21.83333	3961
22	3963
22.16667	3951
22.33333	3950
22.5	3974
22.66667	3955
22.83333	3950
23	3935
23.16667	3942
23.33333	3974
23.5	3964
23.66667	3932
23.83333	3945
24	3921
