Time	1 PrLDf: 5 PrLDm...33
0	5556
0.16667	6309
0.33333	8025
0.5	9233
0.66667	9735
0.83333	9922
1	10026
1.16667	10129
1.33333	10166
1.5	10227
1.66667	10224
1.83333	10292
2	10355
2.16667	10398
2.33333	10496
2.5	10571
2.66667	10622
2.83333	10653
3	10740
3.16667	10719
3.33333	10738
3.5	10783
3.66667	10797
3.83333	10800
4	10854
4.16667	10830
4.33333	10864
4.5	10896
4.66667	10911
4.83333	10901
5	10907
5.16667	10931
5.33333	10989
5.5	10933
5.66667	10956
5.83333	10961
6	10944
6.16667	10980
6.33333	10960
6.5	11037
6.66667	11008
6.83333	11060
7	11027
7.16667	11089
7.33333	11071
7.5	11097
7.66667	11127
7.83333	11081
8	11080
8.16667	11152
8.33333	11141
8.5	11167
8.66667	11116
8.83333	11153
9	11195
9.16667	11183
9.33333	11216
9.5	11221
9.66667	11252
9.83333	11210
10	11325
10.16667	11245
10.33333	11208
10.5	11271
10.66667	11262
10.83333	11306
11	11275
11.16667	11304
11.33333	11351
11.5	11314
11.66667	11281
11.83333	11332
12	11431
12.16667	11334
12.33333	11397
12.5	11412
12.66667	11397
12.83333	11432
13	11473
13.16667	11433
13.33333	11473
13.5	11607
13.66667	11577
13.83333	11651
14	11742
14.16667	11787
14.33333	11789
14.5	11815
14.66667	11792
14.83333	11830
15	11799
15.16667	11806
15.33333	11812
15.5	11855
15.66667	11894
15.83333	11889
16	11848
16.16667	11872
16.33333	11904
16.5	11915
16.66667	11859
16.83333	11896
17	11885
17.16667	11872
17.33333	11983
17.5	11921
17.66667	11915
17.83333	11907
18	11904
18.16667	11949
18.33333	11913
18.5	11894
18.66667	11917
18.83333	11958
19	11905
19.16667	11953
19.33333	11964
19.5	11939
19.66667	11903
19.83333	11921
20	11931
20.16667	11930
20.33333	11949
20.5	11977
20.66667	11912
20.83333	11967
21	11990
21.16667	11990
21.33333	11962
21.5	11960
21.66667	11911
21.83333	11949
22	11974
22.16667	11959
22.33333	11921
22.5	11990
22.66667	11927
22.83333	11939
23	11919
23.16667	11959
23.33333	11972
23.5	11937
23.66667	11955
23.83333	11907
24	11967
