Time	10 PrLDm...81
0	3398
0.16667	3103
0.33333	3325
0.5	3337
0.66667	3269
0.83333	3276
1	3248
1.16667	3223
1.33333	3182
1.5	3169
1.66667	3165
1.83333	3142
2	3152
2.16667	3153
2.33333	3129
2.5	3134
2.66667	3116
2.83333	3128
3	3103
3.16667	3110
3.33333	3114
3.5	3102
3.66667	3103
3.83333	3095
4	3104
4.16667	3094
4.33333	3099
4.5	3103
4.66667	3103
4.83333	3085
5	3076
5.16667	3083
5.33333	3085
5.5	3076
5.66667	3080
5.83333	3073
6	3068
6.16667	3039
6.33333	3040
6.5	3066
6.66667	3060
6.83333	3055
7	3053
7.16667	3059
7.33333	3069
7.5	3048
7.66667	3080
7.83333	3094
8	3052
8.16667	3092
8.33333	3094
8.5	3077
8.66667	3058
8.83333	3068
9	3074
9.16667	3078
9.33333	3068
9.5	3103
9.66667	3082
9.83333	3074
10	3071
10.16667	3082
10.33333	3092
10.5	3087
10.66667	3122
10.83333	3107
11	3118
11.16667	3127
11.33333	3133
11.5	3140
11.66667	3167
11.83333	3175
12	3199
12.16667	3225
12.33333	3220
12.5	3252
12.66667	3293
12.83333	3291
13	3307
13.16667	3298
13.33333	3336
13.5	3355
13.66667	3364
13.83333	3378
14	3392
14.16667	3409
14.33333	3403
14.5	3420
14.66667	3436
14.83333	3432
15	3450
15.16667	3452
15.33333	3450
15.5	3458
15.66667	3467
15.83333	3477
16	3491
16.16667	3479
16.33333	3476
16.5	3500
16.66667	3472
16.83333	3497
17	3494
17.16667	3491
17.33333	3505
17.5	3511
17.66667	3496
17.83333	3507
18	3491
18.16667	3508
18.33333	3509
18.5	3515
18.66667	3518
18.83333	3511
19	3523
19.16667	3514
19.33333	3526
19.5	3531
19.66667	3527
19.83333	3519
20	3536
20.16667	3535
20.33333	3532
20.5	3556
20.66667	3548
20.83333	3531
21	3549
21.16667	3552
21.33333	3567
21.5	3555
21.66667	3544
21.83333	3569
22	3562
22.16667	3555
22.33333	3562
22.5	3554
22.66667	3553
22.83333	3572
23	3567
23.16667	3564
23.33333	3559
23.5	3572
23.66667	3560
23.83333	3559
24	3556
