Time	4 PrLDf...106
0	4926
0.16667	4452
0.33333	4735
0.5	4732
0.66667	4794
0.83333	4817
1	4944
1.16667	4959
1.33333	4973
1.5	5004
1.66667	4991
1.83333	5024
2	5013
2.16667	5013
2.33333	5040
2.5	5031
2.66667	5046
2.83333	5042
3	5055
3.16667	5065
3.33333	5070
3.5	5079
3.66667	5064
3.83333	5080
4	5110
4.16667	5096
4.33333	5092
4.5	5093
4.66667	5111
4.83333	5107
5	5113
5.16667	5100
5.33333	5120
5.5	5101
5.66667	5089
5.83333	5090
6	5105
6.16667	5113
6.33333	5092
6.5	5075
6.66667	5094
6.83333	5105
7	5093
7.16667	5120
7.33333	5103
7.5	5126
7.66667	5129
7.83333	5125
8	5133
8.16667	5137
8.33333	5125
8.5	5129
8.66667	5110
8.83333	5131
9	5099
9.16667	5111
9.33333	5108
9.5	5110
9.66667	5102
9.83333	5125
10	5101
10.16667	5112
10.33333	5102
10.5	5090
10.66667	5115
10.83333	5094
11	5105
11.16667	5106
11.33333	5113
11.5	5123
11.66667	5100
11.83333	5081
12	5123
12.16667	5123
12.33333	5087
12.5	5114
12.66667	5145
12.83333	5099
13	5128
13.16667	5128
13.33333	5130
13.5	5145
13.66667	5119
13.83333	5122
14	5136
14.16667	5127
14.33333	5149
14.5	5141
14.66667	5142
14.83333	5148
15	5158
15.16667	5127
15.33333	5134
15.5	5123
15.66667	5181
15.83333	5159
16	5161
16.16667	5166
16.33333	5154
16.5	5142
16.66667	5158
16.83333	5163
17	5150
17.16667	5137
17.33333	5141
17.5	5137
17.66667	5144
17.83333	5143
18	5144
18.16667	5135
18.33333	5170
18.5	5175
18.66667	5176
18.83333	5170
19	5148
19.16667	5178
19.33333	5175
19.5	5168
19.66667	5161
19.83333	5157
20	5158
20.16667	5169
20.33333	5192
20.5	5161
20.66667	5187
20.83333	5159
21	5179
21.16667	5154
21.33333	5179
21.5	5179
21.66667	5184
21.83333	5174
22	5189
22.16667	5188
22.33333	5167
22.5	5151
22.66667	5179
22.83333	5180
23	5191
23.16667	5189
23.33333	5188
23.5	5205
23.66667	5186
23.83333	5189
24	5198
