Time	4 PrLDf: 15 PrLDm...69
0	12491
0.16667	18674
0.33333	21871
0.5	22702
0.66667	23366
0.83333	23550
1	23694
1.16667	23806
1.33333	23925
1.5	24061
1.66667	24146
1.83333	24198
2	24206
2.16667	24360
2.33333	24322
2.5	24585
2.66667	24503
2.83333	24636
3	24664
3.16667	24737
3.33333	24788
3.5	24838
3.66667	24961
3.83333	24913
4	24967
4.16667	25262
4.33333	25189
4.5	25175
4.66667	25300
4.83333	25337
5	25313
5.16667	25305
5.33333	25118
5.5	25178
5.66667	25191
5.83333	25358
6	25394
6.16667	25456
6.33333	25520
6.5	25438
6.66667	25431
6.83333	25542
7	25520
7.16667	25571
7.33333	25649
7.5	25740
7.66667	25712
7.83333	25677
8	25941
8.16667	25782
8.33333	25744
8.5	25797
8.66667	25812
8.83333	25809
9	25927
9.16667	25711
9.33333	25911
9.5	25925
9.66667	25913
9.83333	26005
10	25945
10.16667	25989
10.33333	25966
10.5	26081
10.66667	25960
10.83333	25964
11	26103
11.16667	26162
11.33333	26044
11.5	25982
11.66667	26107
11.83333	26113
12	26090
12.16667	26065
12.33333	26064
12.5	26073
12.66667	26142
12.83333	26119
13	25922
13.16667	26110
13.33333	26081
13.5	26097
13.66667	26145
13.83333	26195
14	26100
14.16667	26231
14.33333	26152
14.5	26141
14.66667	26203
14.83333	26285
15	26283
15.16667	26155
15.33333	26185
15.5	26137
15.66667	26245
15.83333	26287
16	26235
16.16667	26257
16.33333	26286
16.5	26254
16.66667	26233
16.83333	26332
17	26365
17.16667	26330
17.33333	26361
17.5	26360
17.66667	26357
17.83333	26370
18	26332
18.16667	26375
18.33333	26442
18.5	26420
18.66667	26435
18.83333	26513
19	26543
19.16667	26679
19.33333	26630
19.5	26659
19.66667	26671
19.83333	26742
20	26851
20.16667	26890
20.33333	26911
20.5	26914
20.66667	26927
20.83333	26893
21	26952
21.16667	27018
21.33333	27030
21.5	27055
21.66667	27001
21.83333	27016
22	27115
22.16667	27074
22.33333	27066
22.5	26933
22.66667	27055
22.83333	27071
23	27000
23.16667	26996
23.33333	27137
23.5	27043
23.66667	27017
23.83333	27111
24	26974
